Depth,Dense,Res,Ng,Cal,SP
50,2.21,12.23,8.54,165.83,-182.86
50.05,2.21,12.04,8.29,166.12,-183.27
50.1,2.21,11.98,8.37,166.25,-183.44
50.15,2.22,12.07,8.13,166.34,-183.23
50.2,2.22,12.29,7.9,166.38,-182.79
50.25,2.23,12.58,7.61,166.41,-182.31
50.3,2.24,12.82,8.1,166.42,-181.99
50.35,2.25,12.96,8.74,166.43,-181.85
50.4,2.25,12.97,9.37,166.43,-181.86
50.45,2.27,12.9,9.62,166.44,-181.98
50.5,2.28,12.8,9.6,166.39,-182.18
50.55,2.29,12.7,9.04,166.21,-182.34
50.6,2.29,12.67,8.33,165.81,-182.43
50.65,2.3,12.7,7.87,165.25,-182.43
50.7,2.31,12.8,7.24,164.66,-182.54
50.75,2.3,12.98,6.62,164.12,-182.86
50.8,2.29,13.22,6.37,163.58,-183.45
50.85,2.28,13.47,6.6,163.01,-184.18
50.9,2.27,13.67,6.99,162.43,-184.94
50.95,2.26,13.8,6.52,161.94,-185.61
51,2.25,13.9,6.5,161.59,-186.13
51.05,2.25,14.03,6.4,161.42,-186.48
51.1,2.24,14.21,6.98,161.49,-186.63
51.15,2.23,14.49,7.68,161.74,-186.56
51.2,2.22,14.79,8.53,162.29,-186.23
51.25,2.21,15.08,9.24,163.08,-185.7
51.3,2.2,15.36,9.76,164.05,-185.14
51.35,2.19,15.58,10.2,164.98,-184.76
51.4,2.19,15.67,9.99,165.9,-184.75
51.45,2.19,15.57,9.44,167.02,-185.12
51.5,2.19,15.3,8.69,168.4,-185.78
51.55,2.19,14.91,8.43,169.97,-186.47
51.6,2.18,14.48,8.22,171.36,-186.96
51.65,2.17,14.1,8.13,172.48,-187.06
51.7,2.15,13.83,8.07,173.25,-186.79
51.75,2.15,13.68,8.04,173.72,-186.23
51.8,2.15,13.61,7.82,173.97,-185.53
51.85,2.15,13.58,7.57,174.06,-184.72
51.9,2.15,13.56,7.08,174.13,-184.01
51.95,2.15,13.52,6.93,174.21,-183.52
52,2.14,13.47,6.8,174.29,-183.55
52.05,2.14,13.4,7.35,174.36,-184.18
52.1,2.13,13.3,7.63,174.39,-185.42
52.15,2.13,13.19,8,174.46,-187.03
52.2,2.12,13.07,8.13,174.57,-188.67
52.25,2.12,12.96,8.42,174.73,-190.08
52.3,2.12,12.85,8.31,174.88,-191.12
52.35,2.12,12.75,7.95,174.94,-191.92
52.4,2.12,12.66,7.45,174.85,-192.56
52.45,2.12,12.58,7.28,174.53,-193.15
52.5,2.12,12.56,7.35,174.05,-193.63
52.55,2.12,12.55,7.53,173.36,-193.99
52.6,2.12,12.56,7.77,172.68,-194.14
52.65,2.13,12.56,7.46,172.05,-194.07
52.7,2.14,12.55,7.05,171.61,-193.8
52.75,2.15,12.52,6.9,171.31,-193.48
52.8,2.16,12.48,7.19,171.11,-193.32
52.85,2.16,12.42,7.62,171.06,-193.44
52.9,2.17,12.35,7.76,171.05,-193.89
52.95,2.18,12.28,7.88,171.18,-194.55
