Depth,Dense,Res,Ng,Cal,sTime,Temp,SP,FD3019g,Gamma
0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,21.49,0,0,0
0.35,0,0,0,0,0,21.49,0,0,0
0.4,0,0,0,0,0,21.49,0,0,0
0.45,0,0,0,0,0,21.49,0,0,0
0.5,0,0,0,0,0,21.49,0,0,0
0.55,0,0,0,0,0,21.49,0,0,0
0.6,0,0,0,0,0,21.49,0,0,0
0.65,0,0,0,0,0,21.49,0,0,0
0.7,0,0,0,0,0,21.49,0,0,0
0.75,0,0,0,0,0,21.49,0,0,0
0.8,0,0,0,0,0,21.49,0,0,0
0.85,0,0,0,0,0,21.49,0,0,0
0.9,0,0,0,0,0,21.49,0,0,0
0.95,0,0,0,0,0,21.49,0,0,0
1,0,0,0,0,0,21.49,0,0,0
1.05,0,0,0,0,0,21.49,0,0,0
1.1,0,0,0,0,0,21.49,0,0,0
1.15,0,0,5,0,0,21.49,0,0,0
1.2,0,0,7,0,0,21.49,0,0,0
1.25,0,0,7.6,0,0,21.49,0,0,0
1.3,0,0,9.32,0,0,21.49,0,0,0
1.35,0,0,10.38,0,0,21.49,0,0,0
1.4,0,0,11.34,0,0,21.49,0,0,0
1.45,0,0,11.75,0,2048,21.49,0,0,0
1.5,0,0,12.02,0,2048,21.49,0,0,0
1.55,0,0,12.55,0,2048,21.49,0,0,0
1.6,0,0,12.51,0,2048,21.49,0,0,0
1.65,0,0,12.81,0,2048,21.49,0,0,0
1.7,0,0,12.47,0,2048,21.49,0,0,0
1.75,0,0,12.46,0,2048,21.49,0,0,0
1.8,0,0,12.38,0,2048,21.49,0,12,1.64
1.85,0,0,12.57,0,2048,21.49,0,12,1.64
1.9,0,0,12.59,0,2048,21.49,0,12.2,1.67
1.95,0,0,12.43,0,2048,21.49,0,12.24,1.67
2,0,0,11.8,0,2048,21.49,0,14.49,1.98
2.05,0,0,11.65,0,2048,21.49,0,17.35,2.37
2.1,0,0,11.49,0,2048,21.49,0,18.37,2.51
2.15,0,65535,11.43,0,2048,21.49,0,19.34,2.64
2.2,0,65535,10.98,0,2048,21.49,0,18.14,2.48
2.25,0,65535,10.48,0,2048,21.49,0,18.9,2.58
2.3,0,65535,10.29,0,2048,21.49,0,19.41,2.65
2.35,0,65535,9.96,0,2048,21.49,0,18.66,2.55
2.4,0,65535,9.85,0,2048,21.49,0,16.41,2.24
2.45,0,65535,9.76,0,2048,21.49,0,13.82,1.89
2.5,0,65535,10.12,0,2048,21.49,0,12.85,1.75
2.55,0,65535,10.78,0,2048,21.49,0,13.33,1.82
2.6,0,65535,11.38,0,2048,21.49,0,13.24,1.81
2.65,0,65535,11.83,0,2048,21.49,0,12.31,1.68
2.7,0,65535,12.04,0,2048,21.49,0,13.11,1.79
2.75,0,65535,12.58,0,2048,21.49,0,16.49,2.25
2.8,0,65535,13.12,0,2048,21.49,0,19.92,2.72
2.85,0,65535,13.74,0,2048,21.49,0,19.68,2.69
2.9,0,65535,13.97,0,2048,21.49,0,18.12,2.47
2.95,0,65535,13.94,0,2048,21.49,0,17.16,2.34
3,0,65535,13.58,0,2048,21.49,0,18.26,2.49
3.05,0,65535,12.91,0,2048,21.49,0,18.88,2.58
3.1,0,65535,12.3,0,2048,21.49,0,18.43,2.52
3.15,1.06,65535,11.64,0,2048,21.49,0,19.26,2.63
3.2,1.35,65535,11.79,0,2048,21.49,0,21.74,2.97
3.25,1.65,65535,12.09,0,2048,21.49,0,22.6,3.08
3.3,1.84,65535,12.38,165.56,2048,21.49,0,20.27,2.77
3.35,1.94,65535,12.29,165.56,2048,21.49,0,16.57,2.26
3.4,1.99,65535,12.33,165.33,2048,21.49,0,15.17,2.07
3.45,2.02,65535,12.73,165.25,2048,21.49,0,14.55,1.99
3.5,2.04,65535,13.21,165.23,2048,21.49,0,12.94,1.77
3.55,2.05,65535,13.79,165.29,2048,21.49,0,11.3,1.54
3.6,2.05,65535,14.4,165.44,2048,21.49,0,11.25,1.54
3.65,2.05,65535,14.84,165.57,2048,21.49,0,12.51,1.71
3.7,2.04,65535,15.05,165.63,2048,21.49,0,12.75,1.74
3.75,2.04,65535,14.98,165.57,2048,21.49,0,11.25,1.54
3.8,2.04,65535,14.61,165.4,2048,21.49,0,8.6,1.17
3.85,2.05,65535,14.12,165.13,2048,21.49,0,6.57,0.9
3.9,2.05,65535,13.34,164.73,2048,21.49,0,5.23,0.71
3.95,2.05,65535,12.89,164.29,2048,21.49,0,4.56,0.62
4,2.06,65535,12.25,163.85,2048,21.49,0,4.96,0.68
4.05,2.07,65535,11.83,163.59,2048,21.49,0,5.9,0.81
4.1,2.07,65535,11.02,163.45,2048,21.49,0,6.97,0.95
4.15,2.08,65535,10.37,163.41,2048,21.49,0,7.58,1.03
4.2,2.08,65535,9.68,163.33,2048,21.49,0,8.71,1.19
4.25,2.09,65535,9.81,163.22,2048,21.49,0,9.86,1.35
4.3,2.11,65535,9.5,163.09,2048,21.49,0,10.91,1.49
4.35,2.13,65535,9.26,163,2048,21.49,0,11.35,1.55
4.4,2.15,65535,8.55,162.95,2048,21.49,0,10.85,1.48
