Depth,Den,Ng,Cal,SP,Res
50.05,2.14,6.56,177.32,-103.4,12.34
50.1,2.14,6.73,176.66,-103.44,11.97
50.15,2.13,7.06,175.77,-103.19,11.7
50.2,2.12,7.56,174.66,-102.71,11.54
50.25,2.12,8.12,173.99,-102.18,11.47
50.3,2.12,8.74,173.99,-101.78,11.48
50.35,2.12,8.97,174.21,-101.58,11.53
50.4,2.12,9.14,174.44,-101.53,11.59
50.45,2.12,9.42,175.77,-101.54,11.65
50.5,2.11,9.91,177.1,-101.55,11.69
50.55,2.11,11.07,179.1,-101.61,11.73
50.6,2.11,12,181.1,-101.82,11.77
50.65,2.11,13.61,182.43,-102.26,11.85
50.7,2.12,15.12,183.98,-102.93,11.97
50.75,2.12,16.75,185.31,-103.76,12.14
50.8,2.12,17.97,186.42,-104.61,12.36
50.85,2.14,18.54,187.09,-105.36,12.57
50.9,2.15,18.9,187.53,-105.9,12.7
50.95,2.16,19.49,187.98,-106.19,12.7
51,2.17,20.08,188.2,-106.28,12.63
51.05,2.19,20.51,188.87,-106.27,12.57
51.1,2.2,20.32,189.98,-106.04,12.57
51.15,2.21,19.77,192.42,-105.51,12.62
51.2,2.21,18.42,194.64,-104.52,12.73
51.25,2.21,16.84,194.42,-103.34,12.88
51.3,2.21,14.85,191.97,-102.26,13.07
51.35,2.2,13.34,191.09,-101.77,13.39
51.4,2.2,12.04,191.53,-102,13.88
51.45,2.2,11.48,192.2,-102.95,14.57
51.5,2.19,10.9,192.86,-104.36,15.51
51.55,2.18,10.08,191.31,-105.96,16.54
51.6,2.15,9.2,189.09,-107.5,17.42
51.65,2.12,8.45,188.87,-108.78,17.86
51.7,2.1,7.73,188.64,-109.72,17.81
51.75,2.09,7.04,188.2,-110.3,17.3
51.8,2.09,6.55,187.76,-110.64,16.5
51.85,2.09,6.72,187.76,-110.83,15.55
51.9,2.1,6.85,187.98,-110.96,14.64
51.95,2.1,7.11,187.53,-111.09,13.83
52,2.1,6.79,186.2,-111.29,13.28
52.05,2.1,6.78,184.43,-111.68,12.96
52.1,2.09,6.72,183.32,-112.35,12.86
52.15,2.1,6.9,182.43,-113.31,12.88
52.2,2.12,6.92,181.32,-114.4,12.97
52.25,2.13,6.96,180.87,-115.37,13.09
52.3,2.13,6.98,181.54,-115.94,13.2
52.35,2.12,6.99,183.09,-115.85,13.26
52.4,2.13,6.79,183.76,-115.04,13.23
52.45,2.13,6.56,184.2,-113.69,13.15
52.5,2.14,6.27,184.65,-112.3,13.05
52.55,2.15,6.37,185.31,-111.33,12.99
52.6,2.15,6.13,185.31,-111.12,12.94
52.65,2.16,5.9,185.54,-111.64,12.93
52.7,2.16,5.41,185.54,-112.67,12.93
52.75,2.16,5.26,185.76,-113.82,12.92
52.8,2.16,4.93,186.2,-114.78,12.95
52.85,2.17,4.64,186.42,-115.4,13.02
52.9,2.17,4.51,186.87,-115.76,13.17
52.95,2.18,4.63,187.53,-116,13.36
53,2.18,4.83,187.76,-116.26,13.62
53.05,2.18,4.89,187.76,-116.57,13.97
53.1,2.18,4.54,187.53,-116.9,14.27
53.15,2.19,4.09,187.09,-117.13,14.3
53.2,2.19,3.73,186.65,-117.23,13.97
53.25,2.18,4.36,186.65,-117.21,13.41
53.3,2.18,5.22,189.09,-117.18,12.82
53.35,2.18,6.12,191.53,-117.26,12.26
53.4,2.17,6.67,189.98,-117.53,11.81
53.45,2.17,7.36,185.54,-117.99,11.49
53.5,2.16,8.01,184.65,-118.64,11.32
53.55,2.15,8.67,185.31,-119.38,11.26
53.6,2.15,9.14,186.2,-120.15,11.18
53.65,2.15,9.56,186.87,-120.82,10.98
53.7,2.14,9.94,187.53,-121.35,10.68
53.75,2.14,10.9,187.76,-121.73,10.37
53.8,2.14,11.97,188.87,-121.95,10.16
53.85,2.15,12.57,189.98,-122.02,10.06
53.9,2.15,12.71,190.64,-121.95,10.06
53.95,2.15,12.86,188.42,-121.77,10.11
54,2.16,13.31,186.2,-121.54,10.21
54.05,2.17,13.43,185.09,-121.32,10.37
54.1,2.18,13.55,184.65,-121.16,10.63
54.15,2.19,13.6,184.43,-121.06,10.92
54.2,2.19,14.23,183.76,-121.02,11.16
54.25,2.2,15.17,183.09,-121,11.23
54.3,2.21,16.28,182.65,-121.01,11.16
54.35,2.22,17.09,183.09,-121.09,11
54.4,2.22,17.67,183.32,-121.27,10.87
54.45,2.21,17.95,183.09,-121.59,10.77
54.5,2.21,18.13,183.09,-121.98,10.65
54.55,2.21,18.42,182.87,-122.35,10.51
54.6,2.21,19.11,182.43,-122.61,10.34
54.65,2.2,19.91,182.65,-122.73,10.2
54.7,2.19,20.4,184.43,-122.76,10.1
54.75,2.18,20.46,185.54,-122.84,10.07
54.8,2.18,20.37,185.98,-123.06,10.07
54.85,2.17,20.17,186.2,-123.46,10.11
54.9,2.16,19.91,186.2,-123.95,10.45
54.95,2.16,19.42,186.42,-124.45,10.88
55,2.16,18.87,186.42,-124.87,11.07
55.05,2.15,19.06,186.87,-125.19,10.95
55.1,2.16,18.98,187.53,-125.44,10.69
55.15,2.16,19.21,187.76,-125.71,10.63
55.2,2.17,18.84,187.76,-126.06,10.55
55.25,2.17,19.01,187.76,-126.49,10.5
55.3,2.17,18.77,187.76,-126.85,10.45
55.35,2.17,18.16,187.76,-126.99,10.41
55.4,2.17,17.39,187.76,-126.8,10.4
55.45,2.17,16.51,187.76,-126.43,10.41
55.5,2.17,16.18,187.53,-126.05,10.44
55.55,2.16,15.94,187.76,-125.79,10.5
55.6,2.16,15.82,188.2,-125.46,10.59
55.65,2.15,15.75,188.42,-124.93,10.74
55.7,2.13,15.72,188.64,-124.06,10.9
55.75,2.12,15.49,188.64,-123.12,11.03
55.8,2.12,14.64,188.87,-122.31,11.08
55.85,2.12,14.23,189.09,-121.97,11.04
55.9,2.12,14.17,189.31,-122.26,10.94
55.95,2.12,14.88,189.98,-123.21,10.82
56,2.12,15.01,190.42,-124.63,10.7
56.05,2.12,15.18,190.86,-126.27,10.57
56.1,2.12,14.84,191.53,-127.86,10.41
56.15,2.12,14.2,192.2,-129.17,10.25
56.2,2.12,13.41,192.64,-130.07,10.13
56.25,2.12,12.72,193.08,-130.53,10.04
56.3,2.12,12.43,193.53,-130.58,10.01
56.35,2.11,12.03,193.97,-130.35,10
56.4,2.1,11.69,194.64,-129.99,10.02
56.45,2.1,10.94,194.86,-129.67,10.04
56.5,2.09,10.13,195.08,-129.53,10.07
56.55,2.09,9.41,195.3,-129.62,10.09
56.6,2.08,9.11,195.3,-129.9,10.1
56.65,2.08,9.1,195.97,-130.29,10.12
56.7,2.07,9.04,199.74,-130.65,10.15
56.75,2.07,9.03,199.74,-130.86,10.19
56.8,2.07,8.61,196.41,-130.89,10.23
56.85,2.08,8.33,196.19,-130.84,10.25
56.9,2.1,7.99,195.97,-130.94,10.52
56.95,2.11,8.06,195.75,-131.33,10.8
57,2.11,8.01,195.53,-132.1,10.83
57.05,2.11,7.82,195.08,-133.1,10.55
57.1,2.12,7.57,194.86,-134.18,10.22
57.15,2.12,7.28,194.64,-135.17,10.15
57.2,2.13,7.37,194.64,-135.96,10.19
57.25,2.13,7.53,195.08,-136.54,10.34
57.3,2.14,7.98,195.3,-136.94,10.59
57.35,2.14,8.3,195.53,-137.19,10.89
57.4,2.14,8.66,195.53,-137.33,11.26
57.45,2.14,8.79,195.53,-137.3,11.66
57.5,2.14,9.09,195.53,-137.07,12.02
57.55,2.14,9.18,195.53,-136.55,12.27
57.6,2.13,9.25,195.75,-135.81,12.36
57.65,2.13,9.49,195.97,-134.98,12.36
57.7,2.13,9.55,197.08,-134.38,12.4
57.75,2.13,9.61,198.19,-134.14,12.57
57.8,2.13,8.83,197.08,-134.31,12.75
57.85,2.14,8.09,194.64,-134.72,12.87
57.9,2.14,7.18,194.19,-135.26,12.89
57.95,2.14,6.65,194.64,-135.88,12.93
58,2.14,5.97,195.3,-136.6,13.01
58.05,2.13,5.32,196.64,-137.36,13.13
58.1,2.13,4.46,198.63,-138.01,13.21
58.15,2.12,3.76,199.97,-138.29,13.15
58.2,2.12,2.64,200.19,-138.16,12.92
58.25,2.12,1.68,201.52,-137.77,12.55
58.3,2.13,1.07,203.07,-137.49,12.14
58.35,2.12,0.95,204.63,-137.55,11.73
58.4,2.12,1,205.07,-138.01,11.35
58.45,2.13,1.19,205.29,-138.69,10.97
58.5,2.13,1.64,206.18,-139.42,10.61
58.55,2.14,2.17,206.4,-140.07,10.31
58.6,2.15,2.56,206.4,-140.57,10.09
58.65,2.16,2.75,206.63,-140.87,9.98
58.7,2.17,2.86,206.85,-140.88,9.97
58.75,2.17,2.92,206.18,-140.63,9.99
58.8,2.18,3.56,205.52,-140.19,10.08
58.85,2.19,4.3,205.29,-139.71,10.22
58.9,2.19,5.37,205.29,-139.28,10.44
58.95,2.18,5.93,205.52,-138.93,10.71
59,2.18,6.46,205.74,-138.65,11
59.05,2.17,6.68,205.74,-138.53,11.34
59.1,2.17,7.23,205.52,-138.67,11.69
59.15,2.17,7.78,204.85,-139.16,12.05
59.2,2.17,8.8,204.41,-139.93,12.4
59.25,2.17,9.72,204.41,-140.84,12.71
59.3,2.17,10.7,204.85,-141.67,12.94
59.35,2.17,10.68,204.85,-142.36,13.01
59.4,2.18,10.28,204.85,-142.88,12.92
59.45,2.18,9.79,205.29,-143.26,12.63
59.5,2.18,9.81,205.74,-143.34,12.22
59.55,2.18,9.92,206.4,-143.06,11.78
59.6,2.18,9.95,206.63,-142.39,11.41
59.65,2.17,9.97,206.63,-141.6,11.14
59.7,2.16,10.18,206.85,-140.94,11
59.75,2.15,10.43,207.74,-140.67,10.95
