ds,y
1901/1/1,177.32
1901/2/1,176.66
1901/3/1,175.77
1901/4/1,174.66
1901/5/1,173.99
1901/6/1,173.99
1901/7/1,174.21
1901/8/1,174.44
1901/9/1,175.77
1901/10/1,177.1
1901/11/1,179.1
1901/12/1,181.1
1902/1/1,182.43
1902/2/1,183.98
1902/3/1,185.31
1902/4/1,186.42
1902/5/1,187.09
1902/6/1,187.53
1902/7/1,187.98
1902/8/1,188.2
1902/9/1,188.87
1902/10/1,189.98
1902/11/1,192.42
1902/12/1,194.64
1903/1/1,194.42
1903/2/1,191.97
1903/3/1,191.09
1903/4/1,191.53
1903/5/1,192.2
1903/6/1,192.86
1903/7/1,191.31
1903/8/1,189.09
1903/9/1,188.87
1903/10/1,188.64
1903/11/1,188.2
1903/12/1,187.76
1904/1/1,187.76
1904/2/1,187.98
1904/3/1,187.53
1904/4/1,186.2
1904/5/1,184.43
1904/6/1,183.32
1904/7/1,182.43
1904/8/1,181.32
1904/9/1,180.87
1904/10/1,181.54
1904/11/1,183.09
1904/12/1,183.76
1905/1/1,184.2
1905/2/1,184.65
1905/3/1,185.31
1905/4/1,185.31
1905/5/1,185.54
1905/6/1,185.54
1905/7/1,185.76
1905/8/1,186.2
1905/9/1,186.42
1905/10/1,186.87
1905/11/1,187.53
1905/12/1,187.76
1906/1/1,187.76
1906/2/1,187.53
1906/3/1,187.09
1906/4/1,186.65
1906/5/1,186.65
1906/6/1,189.09
1906/7/1,191.53
1906/8/1,189.98
1906/9/1,185.54
1906/10/1,184.65
1906/11/1,185.31
1906/12/1,186.2
1907/1/1,186.87
1907/2/1,187.53
1907/3/1,187.76
1907/4/1,188.87
1907/5/1,189.98
1907/6/1,190.64
1907/7/1,188.42
1907/8/1,186.2
1907/9/1,185.09
1907/10/1,184.65
1907/11/1,184.43
1907/12/1,183.76
1908/1/1,183.09
1908/2/1,182.65
1908/3/1,183.09
1908/4/1,183.32
1908/5/1,183.09
1908/6/1,183.09
1908/7/1,182.87
1908/8/1,182.43
1908/9/1,182.65
1908/10/1,184.43
1908/11/1,185.54
1908/12/1,185.98
1909/1/1,186.2
1909/2/1,186.2
1909/3/1,186.42
1909/4/1,186.42
1909/5/1,186.87
1909/6/1,187.53
1909/7/1,187.76
1909/8/1,187.76
1909/9/1,187.76
1909/10/1,187.76
1909/11/1,187.76
1909/12/1,187.76
1910/1/1,187.76
1910/2/1,187.53
1910/3/1,187.76
1910/4/1,188.2
1910/5/1,188.42
1910/6/1,188.64
1910/7/1,188.64
1910/8/1,188.87
1910/9/1,189.09
1910/10/1,189.31
1910/11/1,189.98
1910/12/1,190.42
1911/1/1,190.86
1911/2/1,191.53
1911/3/1,192.2
1911/4/1,192.64
1911/5/1,193.08
1911/6/1,193.53
1911/7/1,193.97
1911/8/1,194.64
1911/9/1,194.86
1911/10/1,195.08
1911/11/1,195.3
1911/12/1,195.3
1912/1/1,195.97
1912/2/1,199.74
1912/3/1,199.74
1912/4/1,196.41
1912/5/1,196.19
1912/6/1,195.97
1912/7/1,195.75
1912/8/1,195.53
1912/9/1,195.08
1912/10/1,194.86
1912/11/1,194.64
1912/12/1,194.64
1913/1/1,195.08
1913/2/1,195.3
1913/3/1,195.53
1913/4/1,195.53
1913/5/1,195.53
1913/6/1,195.53
1913/7/1,195.53
1913/8/1,195.75
1913/9/1,195.97
1913/10/1,197.08
1913/11/1,198.19
1913/12/1,197.08
1914/1/1,194.64
1914/2/1,194.19
1914/3/1,194.64
1914/4/1,195.3
1914/5/1,196.64
1914/6/1,198.63
1914/7/1,199.97
1914/8/1,200.19
1914/9/1,201.52
1914/10/1,203.07
1914/11/1,204.63
1914/12/1,205.07
1915/1/1,205.29
1915/2/1,206.18
1915/3/1,206.4
1915/4/1,206.4
1915/5/1,206.63
1915/6/1,206.85
1915/7/1,206.18
1915/8/1,205.52
1915/9/1,205.29
1915/10/1,205.29
1915/11/1,205.52
1915/12/1,205.74
1916/1/1,205.74
1916/2/1,205.52
1916/3/1,204.85
1916/4/1,204.41
1916/5/1,204.41
1916/6/1,204.85
1916/7/1,204.85
1916/8/1,204.85
1916/9/1,205.29
1916/10/1,205.74
1916/11/1,206.4
1916/12/1,206.63
1917/1/1,206.63
1917/2/1,206.85
1917/3/1,207.74
1917/4/1,209.73
1917/5/1,211.07
1917/6/1,211.07
1917/7/1,211.07
1917/8/1,211.07
1917/9/1,210.84
1917/10/1,211.07
1917/11/1,211.73
1917/12/1,212.62
1918/1/1,213.06
1918/2/1,212.62
1918/3/1,211.95
1918/4/1,211.73
1918/5/1,211.07
1918/6/1,210.62
1918/7/1,210.4
1918/8/1,210.4
1918/9/1,210.62
1918/10/1,210.62
1918/11/1,210.4
1918/12/1,210.18
1919/1/1,209.51
1919/2/1,208.85
1919/3/1,208.4
1919/4/1,208.18
1919/5/1,208.18
1919/6/1,208.18
1919/7/1,208.4
1919/8/1,208.4
1919/9/1,208.4
1919/10/1,207.96
1919/11/1,207.74
1919/12/1,207.74
1920/1/1,208.4
1920/2/1,209.07
1920/3/1,209.29
1920/4/1,209.29
1920/5/1,209.29
1920/6/1,209.29
1920/7/1,209.73
1920/8/1,209.73
1920/9/1,209.96
1920/10/1,210.4
1920/11/1,210.84
1920/12/1,210.62
1921/1/1,210.4
1921/2/1,209.96
1921/3/1,209.51
1921/4/1,209.73
1921/5/1,210.4
1921/6/1,211.29
1921/7/1,211.51
1921/8/1,211.29
1921/9/1,211.07
1921/10/1,211.07
1921/11/1,210.84
1921/12/1,210.84
1922/1/1,210.84
1922/2/1,211.07
1922/3/1,211.29
1922/4/1,211.73
1922/5/1,211.95
1922/6/1,212.18
1922/7/1,212.18
1922/8/1,211.95
1922/9/1,211.95
1922/10/1,212.18
1922/11/1,212.18
1922/12/1,211.95
1923/1/1,211.73
1923/2/1,211.51
1923/3/1,211.29
1923/4/1,210.84
1923/5/1,209.96
1923/6/1,209.07
1923/7/1,207.29
1923/8/1,205.96
1923/9/1,205.29
1923/10/1,205.07
1923/11/1,205.07
1923/12/1,205.07
1924/1/1,204.63
1924/2/1,204.41
1924/3/1,204.18
1924/4/1,203.52
1924/5/1,203.07
1924/6/1,202.63
1924/7/1,202.63
1924/8/1,202.41
1924/9/1,202.19
1924/10/1,201.74
1924/11/1,201.3
1924/12/1,200.85
1925/1/1,200.19
1925/2/1,199.3
1925/3/1,198.63
1925/4/1,197.97
1925/5/1,198.41
1925/6/1,199.3
1925/7/1,200.63
1925/8/1,201.08
1925/9/1,200.85
1925/10/1,200.63
1925/11/1,200.41
1925/12/1,200.41
1926/1/1,200.41
1926/2/1,200.41
1926/3/1,200.63
1926/4/1,200.63
1926/5/1,200.63
1926/6/1,200.63
1926/7/1,200.41
1926/8/1,199.97
1926/9/1,199.52
1926/10/1,199.08
1926/11/1,198.41
1926/12/1,197.97
1927/1/1,197.3
1927/2/1,196.64
1927/3/1,196.41
1927/4/1,196.86
1927/5/1,197.3
1927/6/1,198.41
1927/7/1,198.86
1927/8/1,198.63
1927/9/1,198.86
1927/10/1,199.3
1927/11/1,199.74
1927/12/1,200.19
1928/1/1,200.41
1928/2/1,200.41
1928/3/1,199.97
1928/4/1,199.3
1928/5/1,198.41
1928/6/1,197.75
1928/7/1,197.08
1928/8/1,195.97
1928/9/1,194.86
1928/10/1,192.42
1928/11/1,190.86
1928/12/1,190.42
1929/1/1,190.64
1929/2/1,191.53
1929/3/1,191.31
1929/4/1,190.64
1929/5/1,190.2
1929/6/1,189.98
1929/7/1,190.42
1929/8/1,190.86
1929/9/1,190.2
1929/10/1,189.09
1929/11/1,188.2
1929/12/1,187.98
1930/1/1,187.53
1930/2/1,187.53
1930/3/1,186.65
1930/4/1,185.98
1930/5/1,185.54
1930/6/1,184.87
1930/7/1,184.43
1930/8/1,184.65
1930/9/1,185.31
1930/10/1,185.31
1930/11/1,183.98
1930/12/1,183.09
1931/1/1,183.09
1931/2/1,182.65
1931/3/1,182.43
1931/4/1,182.43
1931/5/1,182.43
1931/6/1,182.43
1931/7/1,182.43
1931/8/1,182.87
1931/9/1,183.54
1931/10/1,184.43
1931/11/1,185.76
1931/12/1,186.42
1932/1/1,186.87
1932/2/1,186.87
1932/3/1,186.42
1932/4/1,185.09
1932/5/1,183.76
1932/6/1,183.32
1932/7/1,185.09
1932/8/1,188.42
1932/9/1,190.42
1932/10/1,191.31
1932/11/1,190.86
1932/12/1,189.75
1933/1/1,188.42
1933/2/1,188.2
1933/3/1,188.64
1933/4/1,190.86
1933/5/1,194.19
1933/6/1,199.97
1933/7/1,203.3
1933/8/1,201.96
1933/9/1,199.08
1933/10/1,199.97
1933/11/1,202.41
1933/12/1,203.3
1934/1/1,200.63
1934/2/1,198.41
1934/3/1,202.85
1934/4/1,205.52
1934/5/1,200.85
1934/6/1,195.75
1934/7/1,195.3
1934/8/1,196.19
1934/9/1,197.08
1934/10/1,197.75
1934/11/1,197.97
1934/12/1,198.41
1935/1/1,198.63
1935/2/1,196.64
1935/3/1,194.86
1935/4/1,193.97
1935/5/1,193.53
1935/6/1,193.08
1935/7/1,192.86
1935/8/1,192.86
1935/9/1,192.42
1935/10/1,191.09
1935/11/1,190.2
1935/12/1,190.2
1936/1/1,190.2
1936/2/1,190.2
1936/3/1,189.98
1936/4/1,189.31
1936/5/1,189.31
1936/6/1,189.98
1936/7/1,191.09
1936/8/1,191.75
1936/9/1,191.53
1936/10/1,190.64
1936/11/1,190.2
1936/12/1,190.2
1937/1/1,190.2
1937/2/1,190.2
1937/3/1,190.2
1937/4/1,190.42
1937/5/1,190.86
1937/6/1,192.2
1937/7/1,195.3
1937/8/1,196.41
1937/9/1,195.3
1937/10/1,193.31
1937/11/1,193.53
1937/12/1,194.86
1938/1/1,191.75
1938/2/1,188.2
1938/3/1,186.42
1938/4/1,186.65
1938/5/1,186.87
1938/6/1,187.09
1938/7/1,187.53
1938/8/1,187.76
