ds,y
1901/1/1,6.56
1901/2/1,6.73
1901/3/1,7.06
1901/4/1,7.56
1901/5/1,8.12
1901/6/1,8.74
1901/7/1,8.97
1901/8/1,9.14
1901/9/1,9.42
1901/10/1,9.91
1901/11/1,11.07
1901/12/1,12
1902/1/1,13.61
1902/2/1,15.12
1902/3/1,16.75
1902/4/1,17.97
1902/5/1,18.54
1902/6/1,18.9
1902/7/1,19.49
1902/8/1,20.08
1902/9/1,20.51
1902/10/1,20.32
1902/11/1,19.77
1902/12/1,18.42
1903/1/1,16.84
1903/2/1,14.85
1903/3/1,13.34
1903/4/1,12.04
1903/5/1,11.48
1903/6/1,10.9
1903/7/1,10.08
1903/8/1,9.2
1903/9/1,8.45
1903/10/1,7.73
1903/11/1,7.04
1903/12/1,6.55
1904/1/1,6.72
1904/2/1,6.85
1904/3/1,7.11
1904/4/1,6.79
1904/5/1,6.78
1904/6/1,6.72
1904/7/1,6.9
1904/8/1,6.92
1904/9/1,6.96
1904/10/1,6.98
1904/11/1,6.99
1904/12/1,6.79
1905/1/1,6.56
1905/2/1,6.27
1905/3/1,6.37
1905/4/1,6.13
1905/5/1,5.9
1905/6/1,5.41
1905/7/1,5.26
1905/8/1,4.93
1905/9/1,4.64
1905/10/1,4.51
1905/11/1,4.63
1905/12/1,4.83
1906/1/1,4.89
1906/2/1,4.54
1906/3/1,4.09
1906/4/1,3.73
1906/5/1,4.36
1906/6/1,5.22
1906/7/1,6.12
1906/8/1,6.67
1906/9/1,7.36
1906/10/1,8.01
1906/11/1,8.67
1906/12/1,9.14
1907/1/1,9.56
1907/2/1,9.94
1907/3/1,10.9
1907/4/1,11.97
1907/5/1,12.57
1907/6/1,12.71
1907/7/1,12.86
1907/8/1,13.31
1907/9/1,13.43
1907/10/1,13.55
1907/11/1,13.6
1907/12/1,14.23
1908/1/1,15.17
1908/2/1,16.28
1908/3/1,17.09
1908/4/1,17.67
1908/5/1,17.95
1908/6/1,18.13
1908/7/1,18.42
1908/8/1,19.11
1908/9/1,19.91
1908/10/1,20.4
1908/11/1,20.46
1908/12/1,20.37
1909/1/1,20.17
1909/2/1,19.91
1909/3/1,19.42
1909/4/1,18.87
