ds,y
1901/1/1,12.34
1901/2/1,11.97
1901/3/1,11.7
1901/4/1,11.54
1901/5/1,11.47
1901/6/1,11.48
1901/7/1,11.53
1901/8/1,11.59
1901/9/1,11.65
1901/10/1,11.69
1901/11/1,11.73
1901/12/1,11.77
1902/1/1,11.85
1902/2/1,11.97
1902/3/1,12.14
1902/4/1,12.36
1902/5/1,12.57
1902/6/1,12.7
1902/7/1,12.7
1902/8/1,12.63
1902/9/1,12.57
1902/10/1,12.57
1902/11/1,12.62
1902/12/1,12.73
1903/1/1,12.88
1903/2/1,13.07
1903/3/1,13.39
1903/4/1,13.88
1903/5/1,14.57
1903/6/1,15.51
1903/7/1,16.54
1903/8/1,17.42
1903/9/1,17.86
1903/10/1,17.81
1903/11/1,17.3
1903/12/1,16.5
1904/1/1,15.55
1904/2/1,14.64
1904/3/1,13.83
1904/4/1,13.28
1904/5/1,12.96
1904/6/1,12.86
1904/7/1,12.88
1904/8/1,12.97
1904/9/1,13.09
1904/10/1,13.2
1904/11/1,13.26
1904/12/1,13.23
1905/1/1,13.15
1905/2/1,13.05
1905/3/1,12.99
1905/4/1,12.94
1905/5/1,12.93
1905/6/1,12.93
1905/7/1,12.92
1905/8/1,12.95
1905/9/1,13.02
1905/10/1,13.17
1905/11/1,13.36
1905/12/1,13.62
1906/1/1,13.97
1906/2/1,14.27
1906/3/1,14.3
1906/4/1,13.97
1906/5/1,13.41
1906/6/1,12.82
1906/7/1,12.26
1906/8/1,11.81
1906/9/1,11.49
1906/10/1,11.32
1906/11/1,11.26
1906/12/1,11.18
1907/1/1,10.98
1907/2/1,10.68
1907/3/1,10.37
1907/4/1,10.16
1907/5/1,10.06
1907/6/1,10.06
1907/7/1,10.11
1907/8/1,10.21
1907/9/1,10.37
1907/10/1,10.63
1907/11/1,10.92
1907/12/1,11.16
1908/1/1,11.23
1908/2/1,11.16
1908/3/1,11
1908/4/1,10.87
1908/5/1,10.77
1908/6/1,10.65
1908/7/1,10.51
1908/8/1,10.34
1908/9/1,10.2
1908/10/1,10.1
1908/11/1,10.07
1908/12/1,10.07
1909/1/1,10.11
1909/2/1,10.45
1909/3/1,10.88
1909/4/1,11.07
1909/5/1,10.95
1909/6/1,10.69
1909/7/1,10.63
1909/8/1,10.55
1909/9/1,10.5
1909/10/1,10.45
1909/11/1,10.41
1909/12/1,10.4
1910/1/1,10.41
1910/2/1,10.44
1910/3/1,10.5
1910/4/1,10.59
1910/5/1,10.74
1910/6/1,10.9
1910/7/1,11.03
1910/8/1,11.08
1910/9/1,11.04
1910/10/1,10.94
1910/11/1,10.82
1910/12/1,10.7
1911/1/1,10.57
1911/2/1,10.41
1911/3/1,10.25
1911/4/1,10.13
1911/5/1,10.04
1911/6/1,10.01
1911/7/1,10
1911/8/1,10.02
1911/9/1,10.04
1911/10/1,10.07
1911/11/1,10.09
1911/12/1,10.1
1912/1/1,10.12
1912/2/1,10.15
1912/3/1,10.19
1912/4/1,10.23
1912/5/1,10.25
1912/6/1,10.52
1912/7/1,10.8
1912/8/1,10.83
1912/9/1,10.55
1912/10/1,10.22
1912/11/1,10.15
1912/12/1,10.19
1913/1/1,10.34
1913/2/1,10.59
1913/3/1,10.89
1913/4/1,11.26
1913/5/1,11.66
1913/6/1,12.02
1913/7/1,12.27
1913/8/1,12.36
1913/9/1,12.36
1913/10/1,12.4
1913/11/1,12.57
1913/12/1,12.75
1914/1/1,12.87
1914/2/1,12.89
1914/3/1,12.93
1914/4/1,13.01
1914/5/1,13.13
1914/6/1,13.21
1914/7/1,13.15
1914/8/1,12.92
1914/9/1,12.55
1914/10/1,12.14
1914/11/1,11.73
1914/12/1,11.35
1915/1/1,10.97
1915/2/1,10.61
1915/3/1,10.31
1915/4/1,10.09
1915/5/1,9.98
1915/6/1,9.97
1915/7/1,9.99
1915/8/1,10.08
1915/9/1,10.22
1915/10/1,10.44
1915/11/1,10.71
1915/12/1,11
1916/1/1,11.34
1916/2/1,11.69
1916/3/1,12.05
1916/4/1,12.4
1916/5/1,12.71
1916/6/1,12.94
1916/7/1,13.01
1916/8/1,12.92
1916/9/1,12.63
1916/10/1,12.22
1916/11/1,11.78
1916/12/1,11.41
1917/1/1,11.14
1917/2/1,11
1917/3/1,10.95
1917/4/1,10.98
1917/5/1,11.04
1917/6/1,11.12
1917/7/1,11.17
1917/8/1,11.16
1917/9/1,11.04
1917/10/1,10.87
1917/11/1,10.7
1917/12/1,10.59
1918/1/1,10.51
1918/2/1,10.46
1918/3/1,10.42
1918/4/1,10.39
1918/5/1,10.36
1918/6/1,10.33
1918/7/1,10.31
1918/8/1,10.29
1918/9/1,10.28
1918/10/1,10.29
1918/11/1,10.31
1918/12/1,10.35
1919/1/1,10.43
1919/2/1,10.53
1919/3/1,10.64
1919/4/1,10.72
1919/5/1,10.77
1919/6/1,10.73
1919/7/1,10.68
1919/8/1,10.63
1919/9/1,10.62
1919/10/1,10.65
1919/11/1,10.71
1919/12/1,10.79
1920/1/1,10.93
1920/2/1,11.18
1920/3/1,11.57
1920/4/1,12.1
1920/5/1,12.78
1920/6/1,13.52
1920/7/1,14.18
1920/8/1,14.68
1920/9/1,14.99
1920/10/1,15.16
1920/11/1,15.2
1920/12/1,15.14
1921/1/1,14.98
1921/2/1,14.71
1921/3/1,14.33
1921/4/1,13.85
1921/5/1,13.26
1921/6/1,12.61
1921/7/1,12
1921/8/1,11.49
1921/9/1,11.13
1921/10/1,10.87
1921/11/1,10.69
1921/12/1,10.55
1922/1/1,10.44
1922/2/1,10.37
1922/3/1,10.33
1922/4/1,10.33
1922/5/1,10.33
1922/6/1,10.32
1922/7/1,10.32
1922/8/1,10.34
1922/9/1,10.36
1922/10/1,10.41
1922/11/1,10.44
1922/12/1,10.47
1923/1/1,10.48
1923/2/1,10.49
1923/3/1,10.49
1923/4/1,10.5
1923/5/1,10.5
1923/6/1,10.51
1923/7/1,10.53
1923/8/1,10.56
1923/9/1,10.62
1923/10/1,10.73
1923/11/1,10.88
1923/12/1,11.03
1924/1/1,11.16
1924/2/1,11.25
1924/3/1,11.36
1924/4/1,11.53
1924/5/1,11.79
1924/6/1,12.16
1924/7/1,12.58
1924/8/1,13.02
1924/9/1,13.38
1924/10/1,13.6
1924/11/1,13.73
1924/12/1,13.83
1925/1/1,13.99
1925/2/1,14.19
1925/3/1,14.29
1925/4/1,14.21
1925/5/1,13.88
1925/6/1,13.41
1925/7/1,12.94
1925/8/1,12.56
1925/9/1,12.31
1925/10/1,12.18
1925/11/1,12.12
1925/12/1,12.1
1926/1/1,12.04
1926/2/1,11.97
1926/3/1,11.87
1926/4/1,11.77
1926/5/1,11.74
1926/6/1,11.84
1926/7/1,12.1
1926/8/1,12.55
1926/9/1,13.16
1926/10/1,13.89
1926/11/1,14.64
1926/12/1,15.26
1927/1/1,15.71
1927/2/1,15.86
1927/3/1,15.84
1927/4/1,15.67
1927/5/1,15.42
1927/6/1,15.12
1927/7/1,14.83
1927/8/1,14.66
1927/9/1,14.68
1927/10/1,14.89
1927/11/1,15.22
1927/12/1,15.57
1928/1/1,15.87
1928/2/1,16.09
1928/3/1,16.25
1928/4/1,16.37
1928/5/1,16.47
1928/6/1,16.56
1928/7/1,16.62
1928/8/1,16.54
1928/9/1,16.19
1928/10/1,15.48
1928/11/1,14.56
1928/12/1,13.66
1929/1/1,12.99
1929/2/1,12.57
1929/3/1,12.31
1929/4/1,12.12
1929/5/1,11.96
1929/6/1,11.85
1929/7/1,11.8
1929/8/1,11.8
1929/9/1,11.86
1929/10/1,11.97
1929/11/1,12.12
1929/12/1,12.25
1930/1/1,12.31
1930/2/1,12.28
1930/3/1,12.18
1930/4/1,12.12
1930/5/1,12.15
1930/6/1,12.38
1930/7/1,12.68
1930/8/1,12.83
1930/9/1,12.63
1930/10/1,12.16
1930/11/1,11.6
1930/12/1,11.14
1931/1/1,10.82
1931/2/1,10.67
1931/3/1,10.6
1931/4/1,10.57
1931/5/1,10.49
1931/6/1,10.42
1931/7/1,10.45
1931/8/1,10.63
1931/9/1,10.99
1931/10/1,11.58
1931/11/1,12.45
1931/12/1,13.33
1932/1/1,13.76
1932/2/1,13.69
1932/3/1,13.43
1932/4/1,13.48
1932/5/1,14.09
1932/6/1,15.32
1932/7/1,16.76
1932/8/1,17.8
1932/9/1,18
1932/10/1,17.58
1932/11/1,16.89
1932/12/1,16.21
1933/1/1,15.52
1933/2/1,14.87
1933/3/1,14.21
1933/4/1,13.55
1933/5/1,12.92
1933/6/1,12.42
1933/7/1,12.11
1933/8/1,12.02
1933/9/1,12.08
1933/10/1,12.22
1933/11/1,12.39
1933/12/1,12.6
1934/1/1,12.85
1934/2/1,13.17
1934/3/1,13.54
1934/4/1,13.91
1934/5/1,14.23
1934/6/1,14.46
1934/7/1,14.66
1934/8/1,14.91
1934/9/1,15.29
1934/10/1,15.75
1934/11/1,16.2
1934/12/1,16.56
1935/1/1,16.82
1935/2/1,16.98
1935/3/1,17.07
1935/4/1,17.02
1935/5/1,16.78
1935/6/1,16.33
1935/7/1,15.8
1935/8/1,15.29
1935/9/1,14.87
1935/10/1,14.44
1935/11/1,13.91
1935/12/1,13.24
1936/1/1,12.57
1936/2/1,11.99
1936/3/1,11.61
1936/4/1,11.47
1936/5/1,11.6
1936/6/1,11.92
1936/7/1,12.42
1936/8/1,13.01
1936/9/1,14.1
1936/10/1,15.33
1936/11/1,16.25
1936/12/1,16.73
1937/1/1,17.05
1937/2/1,17.68
1937/3/1,18.12
1937/4/1,18.28
1937/5/1,18.06
1937/6/1,17.62
1937/7/1,17.03
1937/8/1,16.41
1937/9/1,15.78
1937/10/1,15.21
1937/11/1,14.72
1937/12/1,14.29
1938/1/1,13.92
1938/2/1,13.57
1938/3/1,13.29
1938/4/1,13.08
1938/5/1,12.93
1938/6/1,12.81
1938/7/1,12.69
1938/8/1,12.56
1938/9/1,12.42
1938/10/1,12.3
1938/11/1,12.24
1938/12/1,12.22
1939/1/1,12.22
1939/2/1,12.21
1939/3/1,12.18
1939/4/1,12.13
1939/5/1,12.1
1939/6/1,12.11
1939/7/1,12.17
1939/8/1,12.26
1939/9/1,12.36
1939/10/1,12.43
1939/11/1,12.46
1939/12/1,12.46
1940/1/1,12.41
1940/2/1,12.36
1940/3/1,12.34
1940/4/1,12.44
1940/5/1,12.65
1940/6/1,12.94
1940/7/1,13.25
1940/8/1,13.52
1940/9/1,13.71
1940/10/1,13.81
1940/11/1,13.9
1940/12/1,14.05
1941/1/1,14.28
1941/2/1,14.59
1941/3/1,15.06
1941/4/1,15.74
1941/5/1,16.57
1941/6/1,17.34
1941/7/1,17.76
1941/8/1,17.64
1941/9/1,17.01
1941/10/1,16.15
1941/11/1,15.37
1941/12/1,14.81
1942/1/1,14.44
1942/2/1,14.17
1942/3/1,13.91
1942/4/1,13.63
1942/5/1,13.3
1942/6/1,12.96
1942/7/1,12.67
1942/8/1,12.44
1942/9/1,12.26
1942/10/1,12.15
1942/11/1,12.14
1942/12/1,12.22
