ds,y
1901/1/1,-103.4
1901/2/1,-103.44
1901/3/1,-103.19
1901/4/1,-102.71
1901/5/1,-102.18
1901/6/1,-101.78
1901/7/1,-101.58
1901/8/1,-101.53
1901/9/1,-101.54
1901/10/1,-101.55
1901/11/1,-101.61
1901/12/1,-101.82
1902/1/1,-102.26
1902/2/1,-102.93
1902/3/1,-103.76
1902/4/1,-104.61
1902/5/1,-105.36
1902/6/1,-105.9
1902/7/1,-106.19
1902/8/1,-106.28
1902/9/1,-106.27
1902/10/1,-106.04
1902/11/1,-105.51
1902/12/1,-104.52
1903/1/1,-103.34
1903/2/1,-102.26
1903/3/1,-101.77
1903/4/1,-102
1903/5/1,-102.95
1903/6/1,-104.36
1903/7/1,-105.96
1903/8/1,-107.5
1903/9/1,-108.78
1903/10/1,-109.72
1903/11/1,-110.3
1903/12/1,-110.64
1904/1/1,-110.83
1904/2/1,-110.96
1904/3/1,-111.09
1904/4/1,-111.29
1904/5/1,-111.68
1904/6/1,-112.35
1904/7/1,-113.31
1904/8/1,-114.4
1904/9/1,-115.37
1904/10/1,-115.94
1904/11/1,-115.85
1904/12/1,-115.04
1905/1/1,-113.69
1905/2/1,-112.3
1905/3/1,-111.33
1905/4/1,-111.12
1905/5/1,-111.64
1905/6/1,-112.67
1905/7/1,-113.82
1905/8/1,-114.78
1905/9/1,-115.4
1905/10/1,-115.76
1905/11/1,-116
1905/12/1,-116.26
1906/1/1,-116.57
1906/2/1,-116.9
1906/3/1,-117.13
1906/4/1,-117.23
1906/5/1,-117.21
1906/6/1,-117.18
1906/7/1,-117.26
1906/8/1,-117.53
1906/9/1,-117.99
1906/10/1,-118.64
1906/11/1,-119.38
1906/12/1,-120.15
1907/1/1,-120.82
1907/2/1,-121.35
1907/3/1,-121.73
1907/4/1,-121.95
1907/5/1,-122.02
1907/6/1,-121.95
1907/7/1,-121.77
1907/8/1,-121.54
1907/9/1,-121.32
1907/10/1,-121.16
1907/11/1,-121.06
1907/12/1,-121.02
1908/1/1,-121
1908/2/1,-121.01
1908/3/1,-121.09
1908/4/1,-121.27
1908/5/1,-121.59
1908/6/1,-121.98
1908/7/1,-122.35
1908/8/1,-122.61
1908/9/1,-122.73
1908/10/1,-122.76
1908/11/1,-122.84
1908/12/1,-123.06
1909/1/1,-123.46
1909/2/1,-123.95
1909/3/1,-124.45
1909/4/1,-124.87
1909/5/1,-125.19
1909/6/1,-125.44
1909/7/1,-125.71
1909/8/1,-126.06
1909/9/1,-126.49
1909/10/1,-126.85
1909/11/1,-126.99
1909/12/1,-126.8
1910/1/1,-126.43
1910/2/1,-126.05
1910/3/1,-125.79
1910/4/1,-125.46
1910/5/1,-124.93
1910/6/1,-124.06
1910/7/1,-123.12
1910/8/1,-122.31
1910/9/1,-121.97
1910/10/1,-122.26
1910/11/1,-123.21
1910/12/1,-124.63
1911/1/1,-126.27
1911/2/1,-127.86
