Depth,Den,Ng,Cal,SP,Res
50.05,2.31,12.23,163.56,-144.59,12.65
50.1,2.32,12.59,163.34,-144.28,12.53
50.15,2.33,12.76,162.89,-143.71,12.41
50.2,2.32,12.87,162,-142.95,12.37
50.25,2.32,12.73,161.56,-142.15,12.45
50.3,2.31,12.12,161.56,-141.44,12.63
50.35,2.3,11.37,162,-140.86,12.9
50.4,2.3,10.7,163.11,-140.36,13.18
50.45,2.29,10.41,164,-139.87,13.49
50.5,2.27,10.22,164.67,-139.36,13.81
50.55,2.26,9.73,164.67,-138.88,14.21
50.6,2.25,8.99,164.45,-138.59,14.65
50.65,2.25,8.14,164.67,-138.56,15.14
50.7,2.24,7.63,165.11,-138.77,15.46
50.75,2.24,7.15,165.11,-139.06,15.5
50.8,2.24,6.76,165.11,-139.26,15.17
50.85,2.24,6.38,164.89,-139.32,14.66
50.9,2.24,6.43,164.45,-139.28,14.22
50.95,2.24,6.56,164,-139.37,13.99
51,2.23,6.8,164,-139.72,14.06
51.05,2.24,7.07,164.22,-140.42,14.35
51.1,2.25,7.37,164.67,-141.35,14.81
51.15,2.25,7.89,164.89,-142.38,15.23
51.2,2.25,8.25,165.33,-143.39,15.47
51.25,2.25,8.63,165.78,-144.37,15.45
51.3,2.25,8.78,166,-145.27,15.22
51.35,2.25,9.08,166.22,-146.1,14.89
51.4,2.25,9.37,165.56,-146.87,14.5
51.45,2.25,9.69,164.22,-147.59,14.15
51.5,2.26,9.81,163.56,-148.27,13.8
51.55,2.27,10.1,162.89,-148.83,13.47
51.6,2.27,10.38,162.89,-149.25,13.15
51.65,2.27,10.7,163.78,-149.53,12.87
51.7,2.27,10.82,164.89,-149.77,12.64
51.75,2.28,10.9,166,-149.98,12.46
51.8,2.29,10.74,166.22,-150.14,12.34
51.85,2.29,10.33,166.44,-150.15,12.3
51.9,2.3,9.82,166.22,-149.88,12.3
51.95,2.31,9.23,166.22,-149.29,12.36
52,2.31,9.01,166.22,-148.46,12.44
52.05,2.32,8.85,166,-147.5,12.58
52.1,2.33,8.77,166,-146.55,12.76
52.15,2.34,8.12,166,-145.72,13.05
52.2,2.37,7.38,166,-145.06,13.39
52.25,2.39,6.5,166,-144.64,13.81
52.3,2.41,5.98,165.78,-144.45,14.23
52.35,2.42,5.5,165.33,-144.47,14.69
52.4,2.43,5.09,164,-144.62,15.16
52.45,2.45,4.92,163.11,-144.75,15.71
52.5,2.47,4.8,164.45,-144.66,16.31
52.55,2.49,5.14,166.67,-144.28,16.99
52.6,2.48,4.99,168,-143.69,17.66
52.65,2.48,4.83,166.89,-143.16,18.34
52.7,2.47,4.36,164.22,-142.92,19.12
52.75,2.48,4.24,163.11,-143.09,20.31
52.8,2.47,4.12,162.45,-143.64,22.11
52.85,2.47,3.87,161.78,-144.46,24.85
52.9,2.45,3.6,160.01,-145.44,27.79
52.95,2.44,3.49,158.67,-146.41,30.39
53,2.42,3.62,158.23,-147.24,32.24
53.05,2.42,3.62,158.23,-147.82,34.09
53.1,2.42,3.45,158.01,-148.16,36.58
53.15,2.42,3.21,157.79,-148.35,38.93
53.2,2.42,3.33,157.12,-148.47,39.95
53.25,2.41,3.91,156.45,-148.58,38.7
53.3,2.4,4.65,156.23,-148.62,35.7
53.35,2.39,5.91,156.01,-148.54,31.55
53.4,2.37,7.31,155.79,-148.29,27.36
53.45,2.36,8.85,155.79,-147.94,23.71
53.5,2.35,10.23,155.57,-147.51,21.41
53.55,2.34,11.22,155.12,-147.01,20.2
53.6,2.34,12.09,154.9,-146.47,19.77
53.65,2.33,12.86,154.68,-145.95,19.61
53.7,2.32,13.59,154.9,-145.53,19.43
53.75,2.32,14.29,156.01,-145.29,19.22
53.8,2.32,14.58,156.9,-145.3,18.91
53.85,2.32,14.57,158.23,-145.58,18.46
53.9,2.33,14.03,158.9,-146.02,17.85
53.95,2.34,13.32,159.56,-146.5,17.02
54,2.35,12.47,160.23,-146.79,16.07
54.05,2.35,11.56,160.89,-146.83,15.05
54.1,2.34,10.61,161.78,-146.58,14.18
54.15,2.34,9.63,162.45,-146.14,13.51
54.2,2.34,9.25,161.78,-145.52,13.12
54.25,2.34,8.98,160.67,-144.78,12.91
54.3,2.34,8.85,160.01,-143.95,12.75
54.35,2.34,8.56,159.78,-143.23,12.55
54.4,2.34,8.48,159.12,-142.77,12.31
54.45,2.34,8.61,159.12,-142.75,12.1
54.5,2.33,8.62,159.34,-143.12,11.97
54.55,2.33,8.45,160.45,-143.76,11.91
54.6,2.34,8.21,161.56,-144.44,11.9
54.65,2.34,8.13,162.67,-145.04,11.96
54.7,2.35,8.27,162.89,-145.5,12.11
54.75,2.35,8.48,162.45,-145.85,12.45
54.8,2.36,8.15,161.56,-146.14,12.98
54.85,2.36,7.73,161.12,-146.46,13.71
54.9,2.36,7.18,161.78,-146.86,14.53
54.95,2.36,7.18,162.89,-147.35,15.33
55,2.37,6.67,163.56,-147.87,16.04
55.05,2.37,6.17,163.78,-148.33,16.66
55.1,2.38,5.77,163.78,-148.63,17.26
55.15,2.38,5.99,163.78,-148.74,17.95
55.2,2.38,6.35,163.78,-148.68,18.65
55.25,2.39,6.47,163.78,-148.49,19.3
55.3,2.39,6.36,163.34,-148.04,19.72
55.35,2.39,6.37,162.67,-147.25,19.94
55.4,2.4,6.55,162.23,-146.04,19.96
55.45,2.41,6.58,162,-144.62,19.83
55.5,2.41,6.23,161.56,-143.26,19.59
55.55,2.41,5.76,161.12,-142.39,19.29
55.6,2.41,5.6,160.45,-142.15,19
55.65,2.41,5.47,160.01,-142.51,18.71
55.7,2.41,5.41,159.56,-143.25,18.43
55.75,2.41,4.98,159.12,-144.24,18.16
55.8,2.41,5.48,158.9,-145.33,17.97
55.85,2.41,6.29,159.12,-146.47,17.87
55.9,2.41,7.55,159.34,-147.51,17.84
55.95,2.4,8.37,159.78,-148.37,17.93
56,2.4,8.99,159.78,-148.99,18.14
56.05,2.4,9.67,159.78,-149.39,18.53
56.1,2.4,10.53,159.56,-149.65,18.97
56.15,2.4,11.44,159.56,-149.79,19.46
56.2,2.39,12.39,159.56,-149.82,19.86
56.25,2.38,13.17,159.56,-149.62,20.18
56.3,2.38,13.91,159.56,-149.19,20.31
56.35,2.38,14.82,159.56,-148.53,20.21
56.4,2.39,15.15,159.56,-148.03,19.91
56.45,2.4,15.39,159.56,-147.91,19.39
56.5,2.42,14.91,159.78,-148.43,18.74
