ds,y
1901/1/1,163.56
1901/2/1,163.34
1901/3/1,162.89
1901/4/1,162
1901/5/1,161.56
1901/6/1,161.56
1901/7/1,162
1901/8/1,163.11
1901/9/1,164
1901/10/1,164.67
1901/11/1,164.67
1901/12/1,164.45
1902/1/1,164.67
1902/2/1,165.11
1902/3/1,165.11
1902/4/1,165.11
1902/5/1,164.89
1902/6/1,164.45
1902/7/1,164
1902/8/1,164
1902/9/1,164.22
1902/10/1,164.67
1902/11/1,164.89
1902/12/1,165.33
1903/1/1,165.78
1903/2/1,166
1903/3/1,166.22
1903/4/1,165.56
1903/5/1,164.22
1903/6/1,163.56
1903/7/1,162.89
1903/8/1,162.89
1903/9/1,163.78
1903/10/1,164.89
1903/11/1,166
1903/12/1,166.22
1904/1/1,166.44
1904/2/1,166.22
1904/3/1,166.22
1904/4/1,166.22
1904/5/1,166
1904/6/1,166
1904/7/1,166
1904/8/1,166
1904/9/1,166
1904/10/1,165.78
1904/11/1,165.33
1904/12/1,164
1905/1/1,163.11
1905/2/1,164.45
1905/3/1,166.67
1905/4/1,168
1905/5/1,166.89
1905/6/1,164.22
1905/7/1,163.11
1905/8/1,162.45
1905/9/1,161.78
1905/10/1,160.01
1905/11/1,158.67
1905/12/1,158.23
1906/1/1,158.23
1906/2/1,158.01
1906/3/1,157.79
1906/4/1,157.12
1906/5/1,156.45
1906/6/1,156.23
1906/7/1,156.01
1906/8/1,155.79
1906/9/1,155.79
1906/10/1,155.57
1906/11/1,155.12
1906/12/1,154.9
1907/1/1,154.68
1907/2/1,154.9
1907/3/1,156.01
1907/4/1,156.9
1907/5/1,158.23
1907/6/1,158.9
1907/7/1,159.56
1907/8/1,160.23
1907/9/1,160.89
1907/10/1,161.78
1907/11/1,162.45
1907/12/1,161.78
1908/1/1,160.67
1908/2/1,160.01
1908/3/1,159.78
1908/4/1,159.12
1908/5/1,159.12
1908/6/1,159.34
1908/7/1,160.45
1908/8/1,161.56
1908/9/1,162.67
1908/10/1,162.89
1908/11/1,162.45
1908/12/1,161.56
1909/1/1,161.12
1909/2/1,161.78
1909/3/1,162.89
1909/4/1,163.56
1909/5/1,163.78
1909/6/1,163.78
1909/7/1,163.78
1909/8/1,163.78
1909/9/1,163.78
1909/10/1,163.34
1909/11/1,162.67
1909/12/1,162.23
1910/1/1,162
1910/2/1,161.56
1910/3/1,161.12
1910/4/1,160.45
1910/5/1,160.01
1910/6/1,159.56
1910/7/1,159.12
1910/8/1,158.9
1910/9/1,159.12
1910/10/1,159.34
1910/11/1,159.78
1910/12/1,159.78
1911/1/1,159.78
1911/2/1,159.56
1911/3/1,159.56
1911/4/1,159.56
1911/5/1,159.56
1911/6/1,159.56
1911/7/1,159.56
1911/8/1,159.56
1911/9/1,159.56
1911/10/1,159.78
1911/11/1,160.67
1911/12/1,161.78
1912/1/1,164.89
1912/2/1,168.89
1912/3/1,172.66
1912/4/1,171.55
1912/5/1,168.22
1912/6/1,168
1912/7/1,168.66
1912/8/1,170.88
1912/9/1,172.88
1912/10/1,170.66
1912/11/1,165.78
1912/12/1,164.22
1913/1/1,163.34
1913/2/1,163.34
1913/3/1,162.89
1913/4/1,162.45
1913/5/1,161.78
1913/6/1,161.34
1913/7/1,160.67
1913/8/1,160.23
1913/9/1,160.01
1913/10/1,159.78
1913/11/1,159.78
1913/12/1,159.78
1914/1/1,160.01
1914/2/1,160.01
1914/3/1,160.23
1914/4/1,160.45
1914/5/1,160.89
1914/6/1,161.78
1914/7/1,162.67
1914/8/1,161.56
1914/9/1,159.78
1914/10/1,158.9
1914/11/1,159.34
1914/12/1,160.23
1915/1/1,159.78
1915/2/1,156.68
1915/3/1,154.9
1915/4/1,154.01
1915/5/1,154.01
1915/6/1,154.01
1915/7/1,153.79
1915/8/1,153.79
1915/9/1,153.79
1915/10/1,153.57
1915/11/1,153.35
1915/12/1,152.9
1916/1/1,152.68
1916/2/1,152.46
1916/3/1,152.46
1916/4/1,152.24
1916/5/1,152.24
1916/6/1,152.24
1916/7/1,152.24
1916/8/1,152.24
1916/9/1,152.24
1916/10/1,152.24
1916/11/1,152.24
1916/12/1,152.46
1917/1/1,152.46
1917/2/1,152.46
1917/3/1,152.46
1917/4/1,152.46
1917/5/1,152.68
1917/6/1,152.9
1917/7/1,153.12
1917/8/1,153.79
1917/9/1,154.46
1917/10/1,154.68
1917/11/1,154.46
1917/12/1,154.46
1918/1/1,154.23
1918/2/1,154.46
1918/3/1,154.68
1918/4/1,154.68
1918/5/1,154.68
1918/6/1,154.9
1918/7/1,154.9
1918/8/1,154.9
1918/9/1,154.9
1918/10/1,154.9
1918/11/1,154.9
1918/12/1,154.9
1919/1/1,154.68
1919/2/1,154.68
1919/3/1,154.9
1919/4/1,155.12
1919/5/1,155.57
1919/6/1,155.79
1919/7/1,155.79
1919/8/1,155.79
1919/9/1,156.01
1919/10/1,156.01
1919/11/1,156.01
1919/12/1,156.01
1920/1/1,156.23
1920/2/1,156.45
1920/3/1,156.23
1920/4/1,156.23
1920/5/1,156.45
1920/6/1,156.45
1920/7/1,156.68
1920/8/1,156.68
1920/9/1,156.9
1920/10/1,156.9
1920/11/1,157.34
1920/12/1,157.34
1921/1/1,157.56
1921/2/1,157.56
1921/3/1,157.56
1921/4/1,157.79
1921/5/1,158.01
1921/6/1,158.23
1921/7/1,158.23
1921/8/1,158.23
1921/9/1,158.23
1921/10/1,158.23
1921/11/1,158.23
1921/12/1,158.01
1922/1/1,157.79
1922/2/1,157.56
1922/3/1,157.34
1922/4/1,156.9
1922/5/1,156.45
1922/6/1,156.01
1922/7/1,155.57
1922/8/1,155.12
1922/9/1,154.9
1922/10/1,154.9
1922/11/1,154.68
1922/12/1,154.46
1923/1/1,154.01
1923/2/1,153.79
1923/3/1,153.35
1923/4/1,153.35
1923/5/1,153.12
1923/6/1,153.12
1923/7/1,153.12
1923/8/1,152.9
1923/9/1,152.9
1923/10/1,152.9
1923/11/1,153.12
1923/12/1,153.12
1924/1/1,153.12
1924/2/1,154.01
1924/3/1,154.68
1924/4/1,155.12
1924/5/1,155.34
1924/6/1,155.79
1924/7/1,156.23
1924/8/1,156.68
1924/9/1,157.34
1924/10/1,158.01
1924/11/1,158.9
1924/12/1,159.34
1925/1/1,160.23
1925/2/1,161.34
1925/3/1,163.11
1925/4/1,164
1925/5/1,164.67
1925/6/1,164.45
1925/7/1,164.45
1925/8/1,164.67
1925/9/1,164.89
1925/10/1,164.89
1925/11/1,165.11
1925/12/1,165.33
1926/1/1,165.78
1926/2/1,166
1926/3/1,166.89
1926/4/1,167.33
1926/5/1,168
1926/6/1,168.66
1926/7/1,169.11
1926/8/1,169.33
1926/9/1,169.33
1926/10/1,169.33
1926/11/1,169.33
1926/12/1,169.11
1927/1/1,168.89
1927/2/1,168.89
1927/3/1,168.89
1927/4/1,168.66
1927/5/1,168.44
1927/6/1,168.22
1927/7/1,168
1927/8/1,167.33
1927/9/1,166.22
1927/10/1,166.44
1927/11/1,166.67
1927/12/1,166.44
1928/1/1,166.44
1928/2/1,166.22
1928/3/1,166
1928/4/1,166
1928/5/1,165.56
1928/6/1,164.45
1928/7/1,163.11
1928/8/1,161.34
1928/9/1,160.89
1928/10/1,160.45
1928/11/1,160.01
1928/12/1,159.56
1929/1/1,159.12
1929/2/1,158.9
1929/3/1,159.12
1929/4/1,159.34
1929/5/1,158.9
1929/6/1,158.01
1929/7/1,156.45
1929/8/1,156.01
1929/9/1,155.57
1929/10/1,155.12
1929/11/1,154.68
1929/12/1,154.68
1930/1/1,154.46
1930/2/1,154.23
1930/3/1,154.01
1930/4/1,153.57
1930/5/1,152.9
1930/6/1,152.24
1930/7/1,151.79
1930/8/1,151.35
1930/9/1,151.35
1930/10/1,151.35
1930/11/1,151.35
1930/12/1,151.13
1931/1/1,150.68
1931/2/1,150.02
1931/3/1,149.57
1931/4/1,149.13
1931/5/1,148.91
1931/6/1,148.91
1931/7/1,148.91
1931/8/1,148.46
1931/9/1,148.68
1931/10/1,149.35
1931/11/1,150.24
1931/12/1,151.35
1932/1/1,151.79
1932/2/1,152.24
1932/3/1,152.68
1932/4/1,153.35
1932/5/1,153.79
1932/6/1,154.01
1932/7/1,153.79
1932/8/1,153.79
1932/9/1,153.79
1932/10/1,154.01
1932/11/1,154.23
1932/12/1,154.46
1933/1/1,154.9
1933/2/1,155.57
1933/3/1,155.79
1933/4/1,156.23
1933/5/1,156.45
1933/6/1,157.12
1933/7/1,157.79
1933/8/1,158.9
1933/9/1,159.78
1933/10/1,160.01
1933/11/1,159.56
1933/12/1,159.78
1934/1/1,160.45
1934/2/1,161.12
1934/3/1,160.89
1934/4/1,160.01
1934/5/1,159.78
1934/6/1,160.23
1934/7/1,159.78
1934/8/1,158.9
1934/9/1,158.01
1934/10/1,156.9
1934/11/1,155.57
1934/12/1,154.23
1935/1/1,153.79
1935/2/1,153.35
1935/3/1,152.68
1935/4/1,152.24
1935/5/1,152.24
1935/6/1,152.68
1935/7/1,152.68
1935/8/1,152.9
1935/9/1,152.9
1935/10/1,151.35
1935/11/1,150.02
1935/12/1,149.57
1936/1/1,149.13
1936/2/1,148.68
1936/3/1,148.46
1936/4/1,148.24
1936/5/1,148.02
1936/6/1,148.02
1936/7/1,147.8
1936/8/1,147.13
1936/9/1,146.69
1936/10/1,146.24
1936/11/1,145.35
1936/12/1,144.69
1937/1/1,143.58
1937/2/1,142.91
1937/3/1,142.25
1937/4/1,141.8
1937/5/1,141.36
1937/6/1,140.69
1937/7/1,140.03
1937/8/1,139.58
1937/9/1,139.36
1937/10/1,139.36
1937/11/1,139.58
1937/12/1,139.8
1938/1/1,140.25
1938/2/1,141.14
1938/3/1,142.02
1938/4/1,142.69
1938/5/1,142.69
1938/6/1,142.69
1938/7/1,142.69
1938/8/1,142.69
1938/9/1,142.25
1938/10/1,142.25
1938/11/1,142.69
1938/12/1,142.47
1939/1/1,142.47
1939/2/1,142.25
1939/3/1,142.91
1939/4/1,143.58
1939/5/1,143.36
1939/6/1,142.91
1939/7/1,141.36
1939/8/1,139.8
1939/9/1,138.69
1939/10/1,138.47
1939/11/1,138.69
1939/12/1,138.69
1940/1/1,138.69
1940/2/1,138.47
1940/3/1,138.03
1940/4/1,137.36
1940/5/1,136.92
1940/6/1,136.47
1940/7/1,136.25
1940/8/1,136.25
1940/9/1,136.25
1940/10/1,136.47
1940/11/1,136.7
1940/12/1,136.47
1941/1/1,136.47
1941/2/1,136.25
1941/3/1,136.03
1941/4/1,136.03
1941/5/1,136.03
1941/6/1,135.81
1941/7/1,135.59
1941/8/1,135.59
1941/9/1,135.59
1941/10/1,135.59
1941/11/1,136.03
1941/12/1,136.47
1942/1/1,138.47
1942/2/1,141.14
1942/3/1,141.36
1942/4/1,136.25
1942/5/1,128.48
1942/6/1,127.59
1942/7/1,128.04
1942/8/1,127.37
1942/9/1,127.15
1942/10/1,129.37
1942/11/1,131.81
1942/12/1,133.37
1943/1/1,134.48
1943/2/1,135.14
1943/3/1,135.36
1943/4/1,135.36
1943/5/1,135.14
1943/6/1,134.92
1943/7/1,134.92
1943/8/1,134.7
1943/9/1,134.48
1943/10/1,134.48
1943/11/1,134.25
1943/12/1,134.48
1944/1/1,134.48
1944/2/1,134.48
1944/3/1,134.48
1944/4/1,134.48
1944/5/1,134.7
1944/6/1,134.7
1944/7/1,134.7
1944/8/1,134.48
1944/9/1,134.48
1944/10/1,134.48
1944/11/1,134.48
1944/12/1,134.7
1945/1/1,134.7
1945/2/1,134.92
1945/3/1,135.14
1945/4/1,135.59
1945/5/1,135.81
1945/6/1,135.81
1945/7/1,135.81
1945/8/1,135.81
1945/9/1,135.81
1945/10/1,135.81
1945/11/1,135.81
1945/12/1,135.81
1946/1/1,135.81
1946/2/1,135.59
1946/3/1,135.59
1946/4/1,135.36
1946/5/1,135.36
1946/6/1,135.36
1946/7/1,135.36
1946/8/1,135.36
1946/9/1,135.36
1946/10/1,135.14
1946/11/1,134.92
1946/12/1,134.92
1947/1/1,134.92
1947/2/1,134.92
1947/3/1,134.92
1947/4/1,135.14
1947/5/1,135.14
1947/6/1,135.36
1947/7/1,135.14
1947/8/1,135.14
1947/9/1,135.14
1947/10/1,134.92
1947/11/1,134.92
1947/12/1,134.92
1948/1/1,135.14
1948/2/1,135.14
1948/3/1,135.14
1948/4/1,135.14
1948/5/1,135.36
1948/6/1,135.59
1948/7/1,135.36
1948/8/1,135.14
1948/9/1,134.92
1948/10/1,134.48
1948/11/1,133.59
1948/12/1,131.15
1949/1/1,129.15
1949/2/1,128.26
1949/3/1,128.7
1949/4/1,129.81
1949/5/1,130.48
1949/6/1,130.48
1949/7/1,130.48
1949/8/1,130.04
1949/9/1,129.59
1949/10/1,129.37
1949/11/1,129.37
1949/12/1,129.37
1950/1/1,129.37
1950/2/1,128.93
1950/3/1,128.7
1950/4/1,128.7
1950/5/1,128.7
1950/6/1,128.7
1950/7/1,128.48
1950/8/1,128.48
1950/9/1,128.48
1950/10/1,128.7
1950/11/1,128.93
1950/12/1,128.7
1951/1/1,128.48
1951/2/1,128.26
1951/3/1,127.82
1951/4/1,127.15
1951/5/1,126.71
1951/6/1,126.48
1951/7/1,126.26
1951/8/1,126.04
1951/9/1,125.6
1951/10/1,125.37
1951/11/1,125.37
1951/12/1,126.04
1952/1/1,126.48
1952/2/1,126.04
1952/3/1,124.49
1952/4/1,124.71
1952/5/1,126.26
1952/6/1,126.26
1952/7/1,126.04
1952/8/1,125.6
1952/9/1,125.15
1952/10/1,124.71
1952/11/1,124.26
1952/12/1,123.6
1953/1/1,123.38
1953/2/1,123.15
1953/3/1,123.6
1953/4/1,123.82
1953/5/1,124.04
1953/6/1,124.04
1953/7/1,124.04
1953/8/1,123.38
1953/9/1,122.93
1953/10/1,122.49
1953/11/1,122.71
1953/12/1,123.15
1954/1/1,123.15
1954/2/1,123.6
1954/3/1,124.49
1954/4/1,125.82
1954/5/1,125.82
1954/6/1,125.6
1954/7/1,126.04
1954/8/1,126.71
1954/9/1,127.15
1954/10/1,127.37
1954/11/1,127.59
1954/12/1,127.59
1955/1/1,127.59
1955/2/1,128.26
1955/3/1,128.7
1955/4/1,128.93
1955/5/1,129.15
1955/6/1,128.7
1955/7/1,126.71
1955/8/1,124.93
1955/9/1,123.38
1955/10/1,122.27
1955/11/1,122.27
1955/12/1,122.27
1956/1/1,121.38
1956/2/1,120.05
1956/3/1,119.6
1956/4/1,119.6
1956/5/1,120.93
1956/6/1,122.49
1956/7/1,124.26
1956/8/1,124.71
1956/9/1,125.37
1956/10/1,127.59
1956/11/1,129.15
1956/12/1,129.15
1957/1/1,128.04
1957/2/1,126.93
1957/3/1,126.48
1957/4/1,125.6
1957/5/1,124.93
1957/6/1,125.37
1957/7/1,125.6
1957/8/1,125.37
1957/9/1,125.37
1957/10/1,125.37
1957/11/1,125.6
1957/12/1,126.04
1958/1/1,127.15
1958/2/1,128.04
1958/3/1,128.7
1958/4/1,129.15
1958/5/1,129.37
1958/6/1,129.81
1958/7/1,130.04
1958/8/1,130.26
1958/9/1,130.48
1958/10/1,130.7
1958/11/1,131.15
1958/12/1,131.37
1959/1/1,131.59
1959/2/1,131.81
1959/3/1,132.26
1959/4/1,132.7
1959/5/1,133.14
1959/6/1,133.37
1959/7/1,133.59
1959/8/1,132.92
1959/9/1,132.26
1959/10/1,131.81
1959/11/1,131.81
1959/12/1,131.59
1960/1/1,131.15
1960/2/1,130.7
1960/3/1,130.48
1960/4/1,130.04
1960/5/1,129.37
1960/6/1,128.7
1960/7/1,128.26
1960/8/1,127.37
1960/9/1,126.93
1960/10/1,126.93
1960/11/1,126.71
1960/12/1,126.26
1961/1/1,126.04
1961/2/1,126.04
1961/3/1,125.82
1961/4/1,125.6
1961/5/1,125.6
1961/6/1,125.37
1961/7/1,125.37
1961/8/1,125.37
1961/9/1,125.15
1961/10/1,125.15
1961/11/1,124.93
1961/12/1,124.93
1962/1/1,124.93
1962/2/1,125.15
1962/3/1,125.37
1962/4/1,125.37
1962/5/1,125.15
1962/6/1,125.37
1962/7/1,125.6
1962/8/1,125.6
1962/9/1,125.6
1962/10/1,125.15
1962/11/1,124.93
1962/12/1,124.71
1963/1/1,124.26
1963/2/1,124.26
1963/3/1,124.04
1963/4/1,124.04
1963/5/1,124.26
1963/6/1,124.26
1963/7/1,124.26
1963/8/1,124.26
1963/9/1,124.26
1963/10/1,124.26
1963/11/1,124.26
1963/12/1,124.26
1964/1/1,124.26
1964/2/1,124.49
1964/3/1,124.49
1964/4/1,124.49
1964/5/1,124.71
1964/6/1,125.15
1964/7/1,125.82
1964/8/1,125.82
1964/9/1,125.6
1964/10/1,125.15
1964/11/1,124.93
1964/12/1,124.93
1965/1/1,124.93
1965/2/1,124.49
1965/3/1,124.26
1965/4/1,124.04
1965/5/1,123.6
1965/6/1,123.15
1965/7/1,122.93
1965/8/1,123.15
1965/9/1,123.38
1965/10/1,122.93
1965/11/1,122.49
1965/12/1,122.27
1966/1/1,122.04
1966/2/1,122.04
1966/3/1,121.82
1966/4/1,121.82
1966/5/1,121.82
1966/6/1,121.82
1966/7/1,121.82
1966/8/1,121.82
1966/9/1,121.6
1966/10/1,121.6
1966/11/1,121.6
1966/12/1,121.82
1967/1/1,121.38
1967/2/1,120.93
1967/3/1,120.49
1967/4/1,120.05
1967/5/1,119.6
1967/6/1,118.94
1967/7/1,118.49
1967/8/1,118.94
1967/9/1,118.94
1967/10/1,118.71
1967/11/1,117.6
1967/12/1,117.6
1968/1/1,118.94
1968/2/1,120.27
