ds,y
1901/1/1,2.31
1901/2/1,2.32
1901/3/1,2.33
1901/4/1,2.32
1901/5/1,2.32
1901/6/1,2.31
1901/7/1,2.3
1901/8/1,2.3
1901/9/1,2.29
1901/10/1,2.27
1901/11/1,2.26
1901/12/1,2.25
1902/1/1,2.25
1902/2/1,2.24
1902/3/1,2.24
1902/4/1,2.24
1902/5/1,2.24
1902/6/1,2.24
1902/7/1,2.24
1902/8/1,2.23
1902/9/1,2.24
1902/10/1,2.25
1902/11/1,2.25
1902/12/1,2.25
1903/1/1,2.25
1903/2/1,2.25
1903/3/1,2.25
1903/4/1,2.25
1903/5/1,2.25
1903/6/1,2.26
1903/7/1,2.27
1903/8/1,2.27
1903/9/1,2.27
1903/10/1,2.27
1903/11/1,2.28
1903/12/1,2.29
1904/1/1,2.29
1904/2/1,2.3
1904/3/1,2.31
1904/4/1,2.31
1904/5/1,2.32
1904/6/1,2.33
1904/7/1,2.34
1904/8/1,2.37
1904/9/1,2.39
1904/10/1,2.41
1904/11/1,2.42
1904/12/1,2.43
1905/1/1,2.45
1905/2/1,2.47
1905/3/1,2.49
1905/4/1,2.48
1905/5/1,2.48
1905/6/1,2.47
1905/7/1,2.48
1905/8/1,2.47
1905/9/1,2.47
1905/10/1,2.45
1905/11/1,2.44
1905/12/1,2.42
1906/1/1,2.42
1906/2/1,2.42
1906/3/1,2.42
1906/4/1,2.42
1906/5/1,2.41
1906/6/1,2.4
1906/7/1,2.39
1906/8/1,2.37
1906/9/1,2.36
1906/10/1,2.35
1906/11/1,2.34
1906/12/1,2.34
1907/1/1,2.33
1907/2/1,2.32
1907/3/1,2.32
1907/4/1,2.32
1907/5/1,2.32
1907/6/1,2.33
1907/7/1,2.34
1907/8/1,2.35
1907/9/1,2.35
1907/10/1,2.34
1907/11/1,2.34
1907/12/1,2.34
1908/1/1,2.34
1908/2/1,2.34
1908/3/1,2.34
1908/4/1,2.34
1908/5/1,2.34
1908/6/1,2.33
1908/7/1,2.33
1908/8/1,2.34
1908/9/1,2.34
1908/10/1,2.35
1908/11/1,2.35
1908/12/1,2.36
1909/1/1,2.36
1909/2/1,2.36
1909/3/1,2.36
1909/4/1,2.37
1909/5/1,2.37
1909/6/1,2.38
1909/7/1,2.38
1909/8/1,2.38
1909/9/1,2.39
1909/10/1,2.39
1909/11/1,2.39
1909/12/1,2.4
1910/1/1,2.41
1910/2/1,2.41
1910/3/1,2.41
1910/4/1,2.41
1910/5/1,2.41
1910/6/1,2.41
1910/7/1,2.41
1910/8/1,2.41
1910/9/1,2.41
1910/10/1,2.41
1910/11/1,2.4
1910/12/1,2.4
1911/1/1,2.4
1911/2/1,2.4
1911/3/1,2.4
1911/4/1,2.39
1911/5/1,2.38
1911/6/1,2.38
1911/7/1,2.38
1911/8/1,2.39
1911/9/1,2.4
1911/10/1,2.42
