ds,y
1901/1/1,12.23
1901/2/1,12.59
1901/3/1,12.76
1901/4/1,12.87
1901/5/1,12.73
1901/6/1,12.12
1901/7/1,11.37
1901/8/1,10.7
1901/9/1,10.41
1901/10/1,10.22
1901/11/1,9.73
1901/12/1,8.99
1902/1/1,8.14
1902/2/1,7.63
1902/3/1,7.15
1902/4/1,6.76
1902/5/1,6.38
1902/6/1,6.43
1902/7/1,6.56
1902/8/1,6.8
1902/9/1,7.07
1902/10/1,7.37
1902/11/1,7.89
1902/12/1,8.25
1903/1/1,8.63
1903/2/1,8.78
1903/3/1,9.08
1903/4/1,9.37
1903/5/1,9.69
1903/6/1,9.81
1903/7/1,10.1
1903/8/1,10.38
1903/9/1,10.7
1903/10/1,10.82
1903/11/1,10.9
1903/12/1,10.74
1904/1/1,10.33
1904/2/1,9.82
1904/3/1,9.23
1904/4/1,9.01
1904/5/1,8.85
1904/6/1,8.77
1904/7/1,8.12
1904/8/1,7.38
1904/9/1,6.5
1904/10/1,5.98
1904/11/1,5.5
1904/12/1,5.09
1905/1/1,4.92
1905/2/1,4.8
1905/3/1,5.14
1905/4/1,4.99
1905/5/1,4.83
1905/6/1,4.36
1905/7/1,4.24
1905/8/1,4.12
1905/9/1,3.87
1905/10/1,3.6
1905/11/1,3.49
1905/12/1,3.62
1906/1/1,3.62
1906/2/1,3.45
1906/3/1,3.21
1906/4/1,3.33
1906/5/1,3.91
1906/6/1,4.65
1906/7/1,5.91
1906/8/1,7.31
1906/9/1,8.85
1906/10/1,10.23
1906/11/1,11.22
1906/12/1,12.09
1907/1/1,12.86
1907/2/1,13.59
1907/3/1,14.29
1907/4/1,14.58
1907/5/1,14.57
1907/6/1,14.03
1907/7/1,13.32
1907/8/1,12.47
1907/9/1,11.56
1907/10/1,10.61
1907/11/1,9.63
1907/12/1,9.25
1908/1/1,8.98
1908/2/1,8.85
1908/3/1,8.56
1908/4/1,8.48
1908/5/1,8.61
1908/6/1,8.62
1908/7/1,8.45
1908/8/1,8.21
1908/9/1,8.13
1908/10/1,8.27
1908/11/1,8.48
1908/12/1,8.15
1909/1/1,7.73
1909/2/1,7.18
1909/3/1,7.18
1909/4/1,6.67
1909/5/1,6.17
1909/6/1,5.77
1909/7/1,5.99
1909/8/1,6.35
1909/9/1,6.47
1909/10/1,6.36
1909/11/1,6.37
1909/12/1,6.55
1910/1/1,6.58
1910/2/1,6.23
1910/3/1,5.76
1910/4/1,5.6
1910/5/1,5.47
1910/6/1,5.41
1910/7/1,4.98
1910/8/1,5.48
1910/9/1,6.29
1910/10/1,7.55
1910/11/1,8.37
1910/12/1,8.99
1911/1/1,9.67
1911/2/1,10.53
1911/3/1,11.44
1911/4/1,12.39
1911/5/1,13.17
1911/6/1,13.91
1911/7/1,14.82
1911/8/1,15.15
1911/9/1,15.39
1911/10/1,14.91
1911/11/1,14.46
1911/12/1,13.87
1912/1/1,13.87
1912/2/1,14.15
1912/3/1,14.6
1912/4/1,14.55
1912/5/1,14.43
1912/6/1,14
1912/7/1,13.69
1912/8/1,13.34
1912/9/1,13.2
1912/10/1,13.11
1912/11/1,13.46
1912/12/1,13.71
1913/1/1,14.04
1913/2/1,14.15
1913/3/1,14.44
1913/4/1,14.92
1913/5/1,15.27
1913/6/1,15.64
1913/7/1,15.58
1913/8/1,15.44
1913/9/1,15.21
1913/10/1,14.53
1913/11/1,13.75
1913/12/1,13.26
1914/1/1,12.8
1914/2/1,12.21
1914/3/1,11.2
1914/4/1,10.48
1914/5/1,9.74
1914/6/1,9.04
1914/7/1,8.76
1914/8/1,8.76
1914/9/1,8.9
1914/10/1,9.13
1914/11/1,9.41
1914/12/1,9.11
1915/1/1,8.9
1915/2/1,8.6
1915/3/1,9.3
1915/4/1,9.78
1915/5/1,10.62
1915/6/1,11.08
1915/7/1,11.34
1915/8/1,11.08
1915/9/1,10.69
1915/10/1,10.35
1915/11/1,10.01
1915/12/1,9.67
1916/1/1,9.14
1916/2/1,8.76
1916/3/1,8.18
1916/4/1,7.79
1916/5/1,7.19
1916/6/1,6.8
1916/7/1,6.8
1916/8/1,7.92
1916/9/1,9.34
1916/10/1,11.05
1916/11/1,12.28
1916/12/1,13.67
1917/1/1,14.59
1917/2/1,15.05
1917/3/1,15.33
1917/4/1,15.48
1917/5/1,16.16
1917/6/1,16.73
1917/7/1,17.38
1917/8/1,17.42
