ds,y
1901/1/1,12.65
1901/2/1,12.53
1901/3/1,12.41
1901/4/1,12.37
1901/5/1,12.45
1901/6/1,12.63
1901/7/1,12.9
1901/8/1,13.18
1901/9/1,13.49
1901/10/1,13.81
1901/11/1,14.21
1901/12/1,14.65
1902/1/1,15.14
1902/2/1,15.46
1902/3/1,15.5
1902/4/1,15.17
1902/5/1,14.66
1902/6/1,14.22
1902/7/1,13.99
1902/8/1,14.06
1902/9/1,14.35
1902/10/1,14.81
1902/11/1,15.23
1902/12/1,15.47
1903/1/1,15.45
1903/2/1,15.22
1903/3/1,14.89
1903/4/1,14.5
1903/5/1,14.15
1903/6/1,13.8
1903/7/1,13.47
1903/8/1,13.15
1903/9/1,12.87
1903/10/1,12.64
1903/11/1,12.46
1903/12/1,12.34
1904/1/1,12.3
1904/2/1,12.3
1904/3/1,12.36
1904/4/1,12.44
1904/5/1,12.58
1904/6/1,12.76
1904/7/1,13.05
1904/8/1,13.39
1904/9/1,13.81
1904/10/1,14.23
1904/11/1,14.69
1904/12/1,15.16
1905/1/1,15.71
1905/2/1,16.31
1905/3/1,16.99
1905/4/1,17.66
1905/5/1,18.34
1905/6/1,19.12
1905/7/1,20.31
1905/8/1,22.11
1905/9/1,24.85
1905/10/1,27.79
1905/11/1,30.39
1905/12/1,32.24
1906/1/1,34.09
1906/2/1,36.58
1906/3/1,38.93
1906/4/1,39.95
1906/5/1,38.7
1906/6/1,35.7
1906/7/1,31.55
1906/8/1,27.36
1906/9/1,23.71
1906/10/1,21.41
1906/11/1,20.2
1906/12/1,19.77
1907/1/1,19.61
1907/2/1,19.43
1907/3/1,19.22
1907/4/1,18.91
1907/5/1,18.46
1907/6/1,17.85
1907/7/1,17.02
1907/8/1,16.07
1907/9/1,15.05
1907/10/1,14.18
1907/11/1,13.51
1907/12/1,13.12
1908/1/1,12.91
1908/2/1,12.75
1908/3/1,12.55
1908/4/1,12.31
1908/5/1,12.1
1908/6/1,11.97
1908/7/1,11.91
1908/8/1,11.9
1908/9/1,11.96
1908/10/1,12.11
1908/11/1,12.45
1908/12/1,12.98
1909/1/1,13.71
