ds,y
1901/1/1,-144.59
1901/2/1,-144.28
1901/3/1,-143.71
1901/4/1,-142.95
1901/5/1,-142.15
1901/6/1,-141.44
1901/7/1,-140.86
1901/8/1,-140.36
1901/9/1,-139.87
1901/10/1,-139.36
1901/11/1,-138.88
1901/12/1,-138.59
1902/1/1,-138.56
1902/2/1,-138.77
1902/3/1,-139.06
1902/4/1,-139.26
1902/5/1,-139.32
1902/6/1,-139.28
1902/7/1,-139.37
1902/8/1,-139.72
1902/9/1,-140.42
1902/10/1,-141.35
1902/11/1,-142.38
1902/12/1,-143.39
1903/1/1,-144.37
1903/2/1,-145.27
1903/3/1,-146.1
1903/4/1,-146.87
1903/5/1,-147.59
1903/6/1,-148.27
1903/7/1,-148.83
1903/8/1,-149.25
1903/9/1,-149.53
1903/10/1,-149.77
1903/11/1,-149.98
1903/12/1,-150.14
1904/1/1,-150.15
1904/2/1,-149.88
1904/3/1,-149.29
1904/4/1,-148.46
1904/5/1,-147.5
1904/6/1,-146.55
1904/7/1,-145.72
1904/8/1,-145.06
1904/9/1,-144.64
1904/10/1,-144.45
1904/11/1,-144.47
1904/12/1,-144.62
1905/1/1,-144.75
1905/2/1,-144.66
1905/3/1,-144.28
1905/4/1,-143.69
1905/5/1,-143.16
1905/6/1,-142.92
1905/7/1,-143.09
1905/8/1,-143.64
1905/9/1,-144.46
1905/10/1,-145.44
1905/11/1,-146.41
1905/12/1,-147.24
1906/1/1,-147.82
1906/2/1,-148.16
1906/3/1,-148.35
1906/4/1,-148.47
1906/5/1,-148.58
1906/6/1,-148.62
1906/7/1,-148.54
1906/8/1,-148.29
1906/9/1,-147.94
1906/10/1,-147.51
1906/11/1,-147.01
1906/12/1,-146.47
1907/1/1,-145.95
1907/2/1,-145.53
1907/3/1,-145.29
1907/4/1,-145.3
1907/5/1,-145.58
1907/6/1,-146.02
1907/7/1,-146.5
1907/8/1,-146.79
1907/9/1,-146.83
1907/10/1,-146.58
1907/11/1,-146.14
1907/12/1,-145.52
1908/1/1,-144.78
1908/2/1,-143.95
1908/3/1,-143.23
1908/4/1,-142.77
1908/5/1,-142.75
1908/6/1,-143.12
1908/7/1,-143.76
1908/8/1,-144.44
1908/9/1,-145.04
1908/10/1,-145.5
1908/11/1,-145.85
1908/12/1,-146.14
1909/1/1,-146.46
1909/2/1,-146.86
1909/3/1,-147.35
1909/4/1,-147.87
1909/5/1,-148.33
1909/6/1,-148.63
1909/7/1,-148.74
1909/8/1,-148.68
1909/9/1,-148.49
1909/10/1,-148.04
1909/11/1,-147.25
1909/12/1,-146.04
1910/1/1,-144.62
1910/2/1,-143.26
1910/3/1,-142.39
1910/4/1,-142.15
1910/5/1,-142.51
1910/6/1,-143.25
1910/7/1,-144.24
1910/8/1,-145.33
1910/9/1,-146.47
1910/10/1,-147.51
1910/11/1,-148.37
1910/12/1,-148.99
1911/1/1,-149.39
1911/2/1,-149.65
1911/3/1,-149.79
1911/4/1,-149.82
1911/5/1,-149.62
1911/6/1,-149.19
1911/7/1,-148.53
1911/8/1,-148.03
1911/9/1,-147.91
1911/10/1,-148.43
1911/11/1,-149.28
1911/12/1,-150.14
1912/1/1,-150.53
1912/2/1,-150.36
1912/3/1,-149.79
1912/4/1,-149.26
1912/5/1,-149.22
1912/6/1,-149.85
1912/7/1,-151.14
1912/8/1,-152.7
1912/9/1,-154.09
1912/10/1,-154.91
1912/11/1,-155.03
1912/12/1,-154.58
1913/1/1,-153.88
1913/2/1,-153.29
1913/3/1,-153.07
1913/4/1,-153.3
1913/5/1,-153.93
1913/6/1,-154.76
1913/7/1,-155.59
1913/8/1,-156.23
1913/9/1,-156.64
1913/10/1,-156.83
1913/11/1,-156.91
1913/12/1,-156.92
1914/1/1,-156.93
1914/2/1,-156.97
1914/3/1,-157.07
1914/4/1,-157.2
1914/5/1,-157.18
1914/6/1,-156.74
1914/7/1,-155.7
1914/8/1,-154.16
1914/9/1,-152.48
1914/10/1,-151.22
1914/11/1,-150.74
1914/12/1,-151.13
1915/1/1,-152.18
1915/2/1,-153.65
1915/3/1,-155.28
1915/4/1,-156.92
1915/5/1,-158.36
1915/6/1,-159.37
1915/7/1,-159.7
1915/8/1,-159.31
1915/9/1,-158.39
1915/10/1,-157.31
1915/11/1,-156.42
1915/12/1,-155.82
1916/1/1,-155.35
1916/2/1,-154.81
1916/3/1,-154.15
1916/4/1,-153.49
1916/5/1,-153.05
1916/6/1,-153
1916/7/1,-153.43
1916/8/1,-154.25
1916/9/1,-155.36
1916/10/1,-156.52
1916/11/1,-157.58
1916/12/1,-158.52
1917/1/1,-159.41
1917/2/1,-160.36
1917/3/1,-161.37
1917/4/1,-162.3
1917/5/1,-162.95
1917/6/1,-163.17
1917/7/1,-162.98
1917/8/1,-162.46
1917/9/1,-161.76
1917/10/1,-161.03
1917/11/1,-160.39
1917/12/1,-160
1918/1/1,-159.9
1918/2/1,-160.1
1918/3/1,-160.51
1918/4/1,-161.01
1918/5/1,-161.49
1918/6/1,-161.92
1918/7/1,-162.31
1918/8/1,-162.63
1918/9/1,-162.87
1918/10/1,-162.93
1918/11/1,-162.79
1918/12/1,-162.46
1919/1/1,-162.08
1919/2/1,-161.88
1919/3/1,-162.07
1919/4/1,-162.74
1919/5/1,-163.69
1919/6/1,-164.6
1919/7/1,-165.11
1919/8/1,-165.07
1919/9/1,-164.47
1919/10/1,-163.55
1919/11/1,-162.53
1919/12/1,-161.69
1920/1/1,-161.14
1920/2/1,-161.04
1920/3/1,-161.35
1920/4/1,-162.06
1920/5/1,-162.87
1920/6/1,-163.5
1920/7/1,-163.55
1920/8/1,-162.93
1920/9/1,-161.64
1920/10/1,-160.01
1920/11/1,-158.33
1920/12/1,-156.94
1921/1/1,-155.98
1921/2/1,-155.48
1921/3/1,-155.42
1921/4/1,-155.78
1921/5/1,-156.63
1921/6/1,-157.93
1921/7/1,-159.62
1921/8/1,-161.47
1921/9/1,-163.32
1921/10/1,-164.93
1921/11/1,-166.16
1921/12/1,-166.93
1922/1/1,-167.27
1922/2/1,-167.34
1922/3/1,-167.25
1922/4/1,-167.11
1922/5/1,-166.92
1922/6/1,-166.62
1922/7/1,-166.1
1922/8/1,-165.31
1922/9/1,-164.25
1922/10/1,-163.03
1922/11/1,-161.81
1922/12/1,-160.74
1923/1/1,-159.93
1923/2/1,-159.44
1923/3/1,-159.27
1923/4/1,-159.41
1923/5/1,-159.96
1923/6/1,-160.94
1923/7/1,-162.31
1923/8/1,-163.78
1923/9/1,-165.1
1923/10/1,-166.08
1923/11/1,-166.72
1923/12/1,-166.98
1924/1/1,-166.85
1924/2/1,-166.28
1924/3/1,-165.38
1924/4/1,-164.23
1924/5/1,-163
1924/6/1,-161.81
1924/7/1,-160.88
1924/8/1,-160.33
1924/9/1,-160.32
1924/10/1,-160.72
1924/11/1,-161.4
1924/12/1,-162.13
1925/1/1,-162.81
1925/2/1,-163.35
1925/3/1,-163.72
1925/4/1,-163.84
1925/5/1,-163.67
1925/6/1,-163.22
1925/7/1,-162.66
1925/8/1,-162.24
1925/9/1,-162.21
1925/10/1,-162.59
1925/11/1,-163.21
1925/12/1,-163.57
1926/1/1,-163.27
1926/2/1,-161.98
1926/3/1,-159.93
1926/4/1,-157.51
1926/5/1,-155.48
1926/6/1,-154.2
1926/7/1,-153.92
1926/8/1,-154.41
1926/9/1,-155.34
1926/10/1,-156.39
1926/11/1,-157.46
1926/12/1,-158.6
1927/1/1,-159.97
1927/2/1,-161.55
1927/3/1,-163.12
1927/4/1,-164.3
1927/5/1,-164.83
1927/6/1,-164.74
1927/7/1,-164.32
1927/8/1,-163.85
1927/9/1,-163.5
1927/10/1,-163.28
1927/11/1,-163.2
1927/12/1,-163.24
1928/1/1,-163.41
1928/2/1,-163.67
1928/3/1,-163.98
1928/4/1,-164.25
1928/5/1,-164.44
1928/6/1,-164.49
1928/7/1,-164.34
1928/8/1,-163.92
1928/9/1,-163.18
1928/10/1,-162.25
1928/11/1,-161.27
1928/12/1,-160.43
1929/1/1,-159.91
1929/2/1,-159.89
1929/3/1,-160.5
1929/4/1,-161.61
1929/5/1,-162.92
1929/6/1,-163.9
1929/7/1,-164.4
1929/8/1,-164.46
1929/9/1,-164.5
1929/10/1,-164.76
1929/11/1,-165.41
1929/12/1,-166.26
1930/1/1,-167.15
1930/2/1,-167.83
1930/3/1,-168.27
1930/4/1,-168.45
1930/5/1,-168.07
1930/6/1,-167.04
1930/7/1,-165.21
1930/8/1,-163.67
1930/9/1,-162.72
1930/10/1,-162.86
1930/11/1,-163.18
1930/12/1,-163.6
1931/1/1,-163.89
1931/2/1,-164.37
1931/3/1,-164.99
1931/4/1,-165.63
1931/5/1,-166.05
1931/6/1,-166.13
1931/7/1,-165.83
1931/8/1,-165.31
1931/9/1,-164.79
1931/10/1,-164.6
1931/11/1,-164.81
1931/12/1,-165.33
1932/1/1,-165.65
1932/2/1,-165.45
1932/3/1,-164.59
