Depth,Den,Ng,Cal,SP,Res
50,2.37,11.41,118.94,-193.02,17.36
50.05,2.37,11.35,118.94,-193.39,17.13
50.1,2.37,11.35,118.94,-194.15,17.02
50.15,2.37,11.54,118.71,-195.24,16.99
50.2,2.37,11.78,118.49,-196.57,16.95
50.25,2.37,12.06,118.05,-197.94,16.9
50.3,2.38,11.57,117.38,-199.22,16.88
50.35,2.38,10.93,116.94,-200.33,16.97
50.4,2.39,10.1,116.27,-201.23,17.03
50.45,2.39,9.41,116.49,-201.95,16.81
50.5,2.39,8.5,116.94,-202.39,16.23
50.55,2.39,7.58,117.16,-202.47,15.5
50.6,2.39,6.22,116.94,-202.15,14.99
50.65,2.39,5.16,117.6,-201.52,14.95
50.7,2.39,4.08,119.6,-200.7,15.27
50.75,2.38,3.25,121.16,-199.85,15.71
50.8,2.38,2.26,122.04,-199.08,15.82
50.85,2.37,1.3,122.27,-198.55,15.58
50.9,2.36,0.91,122.71,-198.42,15.04
50.95,2.35,1.04,122.93,-198.8,14.65
51,2.34,1.39,122.71,-199.68,14.5
51.05,2.34,1.69,122.27,-200.98,14.65
51.1,2.33,1.82,122.04,-202.54,14.88
51.15,2.33,1.9,121.6,-204.23,15.07
51.2,2.33,1.94,120.49,-205.86,15.2
51.25,2.32,2.17,120.05,-207.13,15.32
51.3,2.32,2.42,119.6,-207.71,15.63
51.35,2.31,3.12,118.94,-207.44,16.2
51.4,2.31,3.91,118.94,-206.49,16.94
51.45,2.32,4.81,119.82,-205.19,17.42
51.5,2.32,5.34,120.93,-203.94,17.46
51.55,2.32,5.63,121.82,-202.83,17.06
51.6,2.33,5.79,122.27,-201.93,16.48
51.65,2.34,6.09,122.93,-201.23,15.85
51.7,2.35,6.78,123.15,-200.96,15.23
51.75,2.35,7.57,123.38,-201.22,14.72
51.8,2.37,8.47,123.38,-202.03,14.36
51.85,2.38,8.81,123.82,-203.07,14.1
51.9,2.39,9.06,123.82,-204,13.78
51.95,2.4,8.57,123.38,-204.51,13.38
52,2.4,8.33,122.27,-204.47,12.97
52.05,2.41,7.98,121.6,-203.92,12.73
52.1,2.4,8.26,121.16,-202.99,12.71
52.15,2.4,8.85,121.16,-201.95,12.99
52.2,2.39,9.62,121.6,-201.08,13.38
