Depth,Dense,Ng,Cal,SP,Res
50,2.21,8.54,165.83,-182.86,12.23
50.05,2.21,8.29,166.12,-183.27,12.04
50.1,2.21,8.37,166.25,-183.44,11.98
50.15,2.22,8.13,166.34,-183.23,12.07
50.2,2.22,7.9,166.38,-182.79,12.29
50.25,2.23,7.61,166.41,-182.31,12.58
50.3,2.24,8.1,166.42,-181.99,12.82
50.35,2.25,8.74,166.43,-181.85,12.96
50.4,2.25,9.37,166.43,-181.86,12.97
50.45,2.27,9.62,166.44,-181.98,12.9
50.5,2.28,9.6,166.39,-182.18,12.8
50.55,2.29,9.04,166.21,-182.34,12.7
50.6,2.29,8.33,165.81,-182.43,12.67
50.65,2.3,7.87,165.25,-182.43,12.7
50.7,2.31,7.24,164.66,-182.54,12.8
50.75,2.3,6.62,164.12,-182.86,12.98
50.8,2.29,6.37,163.58,-183.45,13.22
50.85,2.28,6.6,163.01,-184.18,13.47
50.9,2.27,6.99,162.43,-184.94,13.67
50.95,2.26,6.52,161.94,-185.61,13.8
51,2.25,6.5,161.59,-186.13,13.9
51.05,2.25,6.4,161.42,-186.48,14.03
51.1,2.24,6.98,161.49,-186.63,14.21
51.15,2.23,7.68,161.74,-186.56,14.49
51.2,2.22,8.53,162.29,-186.23,14.79
51.25,2.21,9.24,163.08,-185.7,15.08
51.3,2.2,9.76,164.05,-185.14,15.36
51.35,2.19,10.2,164.98,-184.76,15.58
51.4,2.19,9.99,165.9,-184.75,15.67
51.45,2.19,9.44,167.02,-185.12,15.57
51.5,2.19,8.69,168.4,-185.78,15.3
51.55,2.19,8.43,169.97,-186.47,14.91
51.6,2.18,8.22,171.36,-186.96,14.48
51.65,2.17,8.13,172.48,-187.06,14.1
51.7,2.15,8.07,173.25,-186.79,13.83
51.75,2.15,8.04,173.72,-186.23,13.68
51.8,2.15,7.82,173.97,-185.53,13.61
51.85,2.15,7.57,174.06,-184.72,13.58
51.9,2.15,7.08,174.13,-184.01,13.56
51.95,2.15,6.93,174.21,-183.52,13.52
52,2.14,6.8,174.29,-183.55,13.47
52.05,2.14,7.35,174.36,-184.18,13.4
52.1,2.13,7.63,174.39,-185.42,13.3
52.15,2.13,8,174.46,-187.03,13.19
52.2,2.12,8.13,174.57,-188.67,13.07
52.25,2.12,8.42,174.73,-190.08,12.96
52.3,2.12,8.31,174.88,-191.12,12.85
52.35,2.12,7.95,174.94,-191.92,12.75
52.4,2.12,7.45,174.85,-192.56,12.66
52.45,2.12,7.28,174.53,-193.15,12.58
52.5,2.12,7.35,174.05,-193.63,12.56
52.55,2.12,7.53,173.36,-193.99,12.55
52.6,2.12,7.77,172.68,-194.14,12.56
52.65,2.13,7.46,172.05,-194.07,12.56
52.7,2.14,7.05,171.61,-193.8,12.55
52.75,2.15,6.9,171.31,-193.48,12.52
52.8,2.16,7.19,171.11,-193.32,12.48
52.85,2.16,7.62,171.06,-193.44,12.42
52.9,2.17,7.76,171.05,-193.89,12.35
52.95,2.18,7.88,171.18,-194.55,12.28
53,2.19,7.93,171.33,-195.3,12.24
53.05,2.19,7.96,171.7,-195.86,12.24
53.1,2.19,8.18,172.2,-196.01,12.3
53.15,2.2,8.43,173,-195.66,12.4
53.2,2.2,8.32,173.79,-194.9,12.54
53.25,2.21,8.35,174.51,-193.92,12.71
53.3,2.21,8.33,174.9,-192.89,12.9
53.35,2.2,8.54,175.12,-191.94,13.12
53.4,2.2,8.37,175.2,-191.11,13.27
53.45,2.2,8.18,175.35,-190.42,13.33
53.5,2.2,8.11,175.48,-189.77,13.25
53.55,2.21,8.06,175.58,-189.14,13.07
53.6,2.2,8.03,175.45,-188.49,12.78
53.65,2.2,8.02,175,-187.87,12.47
53.7,2.2,8.01,174.27,-187.25,12.18
53.75,2.2,7.61,173.5,-186.68,11.97
53.8,2.19,7.12,172.88,-186.27,11.84
53.85,2.19,6.75,172.61,-186.19,11.76
53.9,2.19,6.37,172.6,-186.52,11.62
53.95,2.19,6.02,172.95,-187.14,11.44
54,2.19,5.48,173.33,-187.69,11.23
54.05,2.19,5.5,173.61,-187.83,11.08
54.1,2.19,5.6,173.74,-187.43,11.03
54.15,2.19,5.82,173.95,-186.85,11.08
54.2,2.18,6.08,174.29,-186.47,11.23
54.25,2.17,6.38,174.62,-186.57,11.49
54.3,2.17,6.69,174.84,-186.56,11.83
54.35,2.16,6.82,174.91,-186.04,12.23
54.4,2.16,7.1,174.92,-184.54,12.69
54.45,2.16,7.18,174.89,-183.33,13.13
54.5,2.15,7.26,174.89,-182.97,13.48
54.55,2.16,7.09,174.89,-184.27,13.69
54.6,2.16,6.87,174.8,-186.12,13.77
54.65,2.17,6.59,174.47,-188.06,13.77
54.7,2.17,6.29,173.8,-189.38,13.7
54.75,2.18,6.18,172.76,-190.33,13.61
54.8,2.18,6.49,171.67,-191.09,13.52
54.85,2.18,6.53,170.66,-191.91,13.44
54.9,2.18,6.61,170.02,-192.85,13.31
54.95,2.19,6.03,169.56,-193.89,13.1
55,2.2,5.73,169.34,-194.94,12.82
55.05,2.2,5.35,169.29,-195.89,12.5
55.1,2.2,5.22,169.5,-196.67,12.22
55.15,2.2,5.11,169.8,-197.2,12.01
55.2,2.2,5.47,170.08,-197.56,11.91
55.25,2.2,6.32,170.06,-197.79,11.9
55.3,2.2,7.36,169.71,-197.93,11.95
55.35,2.2,8.13,169.2,-197.87,12.06
55.4,2.21,8.5,168.76,-197.6,12.19
55.45,2.22,8.53,168.57,-197.19,12.33
55.5,2.22,8.81,168.58,-196.82,12.43
55.55,2.22,9.07,168.85,-196.53,12.48
55.6,2.22,9.57,169.39,-196.32,12.46
55.65,2.22,9.53,170.13,-196.11,12.4
55.7,2.21,9.42,170.97,-195.92,12.34
55.75,2.21,9.59,171.68,-195.83,12.32
55.8,2.21,9.8,172.26,-195.93,12.35
55.85,2.2,10.08,172.6,-196.21,12.41
55.9,2.2,9.98,172.74,-196.61,12.53
55.95,2.2,9.81,172.62,-197.07,12.69
56,2.19,9.56,172.23,-197.58,12.91
56.05,2.2,9.47,171.72,-198.02,13.23
56.1,2.2,9.41,171.23,-198.29,13.62
56.15,2.19,9.38,170.9,-198.28,14.08
56.2,2.18,9.16,170.96,-198.11,14.42
56.25,2.17,9.11,171.7,-197.92,14.53
56.3,2.16,9.25,173.19,-197.89,14.28
56.35,2.14,9.67,175.06,-197.93,13.77
56.4,2.13,10.19,176.71,-197.94,13.15
56.45,2.12,10.77,177.9,-197.82,12.55
56.5,2.11,10.79,178.6,-197.63,12.03
56.55,2.11,10.71,179.07,-197.49,11.55
56.6,2.11,10.7,179.35,-197.53,11.02
56.65,2.11,10.88,179.45,-197.81,10.5
56.7,2.1,11.12,179.35,-198.29,10.01
56.75,2.09,10.8,179.04,-198.93,9.65
56.8,2.08,10.58,178.74,-199.67,9.4
56.85,2.07,10.28,178.44,-200.56,9.25
56.9,2.07,10.37,178.1,-201.62,9.16
56.95,2.07,10.13,177.48,-202.85,9.12
57,2.07,9.9,176.62,-204.08,9.12
57.05,2.07,9.41,175.7,-205.1,9.14
57.1,2.09,9.26,174.86,-205.71,9.17
57.15,2.11,9.33,174.15,-205.92,9.21
57.2,2.12,9.32,173.53,-205.89,9.27
57.25,2.13,9.33,173.09,-205.9,9.34
57.3,2.13,8.93,172.74,-206.2,9.45
57.35,2.14,9.05,172.54,-206.85,9.56
57.4,2.16,9.2,172.34,-207.8,9.67
57.45,2.18,9.85,172.26,-208.73,9.76
57.5,2.2,10.41,172.25,-209.35,9.81
57.55,2.23,11.05,172.41,-209.42,9.83
57.6,2.25,11.69,172.62,-208.89,9.85
57.65,2.28,11.95,172.87,-207.82,9.85
57.7,2.28,12.13,173.05,-206.29,9.9
57.75,2.29,12.22,173.23,-204.5,9.97
57.8,2.3,12.07,173.34,-202.65,10.1
57.85,2.3,11.86,173.4,-201.11,10.27
57.9,2.3,11.99,173.3,-200.17,10.45
57.95,2.3,12.37,173.03,-199.92,10.6
58,2.29,12.87,172.46,-200.2,10.74
58.05,2.28,13.25,171.72,-200.66,10.9
58.1,2.26,13.82,170.83,-201.09,11.04
58.15,2.25,14.21,170.06,-201.44,11.12
58.2,2.24,14.01,169.42,-201.9,11.12
58.25,2.23,13.64,169.05,-202.7,11.05
58.3,2.22,13.73,168.98,-203.98,10.91
58.35,2.21,14.08,169.34,-205.7,10.75
58.4,2.21,14.56,170.02,-207.52,10.61
58.45,2.2,14.73,170.84,-209.12,10.48
58.5,2.2,14.66,171.59,-210.08,10.37
58.55,2.19,14.48,172.08,-210.29,10.22
58.6,2.19,14.43,172.42,-209.73,10.04
58.65,2.2,14.78,172.81,-208.69,9.86
58.7,2.2,15.24,173.66,-207.37,9.7
58.75,2.21,15.6,174.58,-206.03,9.6
58.8,2.22,16.17,175.33,-204.85,9.52
58.85,2.23,16.76,175.8,-204.07,9.49
58.9,2.25,17.19,176,-203.79,9.47
58.95,2.26,17.19,175.78,-203.92,9.48
59,2.28,16.88,174.88,-204.11,9.53
59.05,2.3,16.61,173.73,-204.12,9.62
59.1,2.31,16.3,172.52,-203.76,9.76
59.15,2.33,15.78,171.38,-203.14,9.91
59.2,2.33,15.02,170.25,-202.35,10.05
59.25,2.34,14.16,169.26,-201.61,10.17
59.3,2.34,13.24,168.48,-201.02,10.23
59.35,2.33,12.68,167.99,-200.68,10.25
59.4,2.32,12.18,167.69,-200.55,10.23
59.45,2.3,12.17,167.58,-200.61,10.2
59.5,2.27,12.07,167.59,-200.83,10.16
59.55,2.25,12.05,167.66,-201.17,10.16
59.6,2.22,12.22,167.72,-201.61,10.19
59.65,2.2,12.66,167.74,-201.97,10.24
59.7,2.18,13.18,167.67,-202.24,10.3
59.75,2.16,13.97,167.57,-202.45,10.36
59.8,2.15,14.63,167.4,-202.8,10.39
59.85,2.14,15.32,167.22,-203.3,10.38
59.9,2.13,15.39,166.88,-203.84,10.33
59.95,2.13,15.34,166.38,-204.25,10.23
60,2.12,15.15,165.76,-204.54,10.09
60.05,2.12,14.5,165.14,-204.85,9.94
60.1,2.12,13.73,164.63,-205.38,9.81
60.15,2.12,12.85,164.18,-206.22,9.72
60.2,2.12,12.12,163.72,-207.37,9.68
60.25,2.13,11.39,163.18,-208.68,9.66
60.3,2.13,10.7,162.58,-209.94,9.65
60.35,2.13,10.22,162,-210.88,9.65
60.4,2.14,9.78,161.5,-211.27,9.68
60.45,2.14,9.2,161.1,-211,9.72
60.5,2.14,9,160.88,-210.1,9.75
60.55,2.15,8.84,160.8,-208.79,9.76
60.6,2.15,8.37,160.96,-207.35,9.76
60.65,2.16,7.84,161.38,-206.26,9.76
60.7,2.16,7.24,162.07,-205.8,9.74
60.75,2.17,7.42,162.96,-206.12,9.7
60.8,2.16,7.53,163.9,-206.95,9.66
60.85,2.16,7.79,164.79,-208.02,9.61
60.9,2.16,8.06,165.6,-209.08,9.57
60.95,2.16,8.37,166.3,-210.08,9.53
61,2.15,8.49,166.91,-211.05,9.5
61.05,2.15,8.57,167.4,-212.07,9.47
61.1,2.13,8.61,167.75,-213.18,9.46
61.15,2.12,8.64,167.92,-214.39,9.46
61.2,2.1,8.45,167.84,-215.64,9.47
61.25,2.09,8.22,167.37,-216.84,9.47
61.3,2.08,8.13,166.51,-217.91,9.5
61.35,2.07,7.67,165.31,-218.77,9.55
61.4,2.06,7.16,163.92,-219.33,9.62
61.45,2.05,7.17,162.6,-219.46,9.71
61.5,2.05,7.27,161.49,-219.08,9.81
61.55,2.05,7.49,160.82,-218.15,9.9
61.6,2.05,7.15,160.42,-216.71,9.95
61.65,2.05,6.93,160.26,-214.83,9.97
61.7,2.05,6.62,160.1,-212.61,9.97
61.75,2.06,6.31,159.94,-210.3,9.97
61.8,2.07,6.19,159.79,-208.21,9.97
61.85,2.07,6.1,159.68,-206.74,9.98
61.9,2.08,6.06,159.63,-206.04,9.98
61.95,2.08,6.03,159.64,-206.18,9.99
62,2.09,6.02,159.72,-206.96,9.99
62.05,2.09,5.81,159.92,-208.27,9.98
62.1,2.09,5.57,160.25,-209.86,9.97
62.15,2.09,5.28,160.57,-211.55,9.95
62.2,2.08,5.17,160.7,-213.1,9.96
62.25,2.08,5.09,160.48,-214.22,10
62.3,2.08,5.25,159.97,-214.62,10.1
62.35,2.08,5.47,159.38,-214.08,10.22
62.4,2.07,5.74,158.81,-212.8,10.35
62.45,2.07,5.84,158.27,-211.2,10.41
62.5,2.07,5.92,157.69,-209.93,10.36
62.55,2.07,5.95,157.11,-209.34,10.17
62.6,2.07,6.17,156.57,-209.48,9.9
62.65,2.08,6.43,156.21,-210.12,9.64
62.7,2.08,6.72,156.07,-211,9.43
62.75,2.1,6.83,156.11,-211.93,9.27
62.8,2.12,6.91,156.09,-212.68,9.17
62.85,2.15,7.35,156,-212.93,9.11
62.9,2.17,7.85,155.89,-212.43,9.12
62.95,2.2,8.44,155.85,-211.16,9.18
63,2.23,8.66,155.91,-209.44,9.27
63.05,2.27,8.82,156.09,-207.81,9.37
63.1,2.29,9.1,156.41,-206.8,9.46
63.15,2.32,9.38,156.73,-206.59,9.55
63.2,2.34,9.7,156.99,-207.06,9.66
63.25,2.35,9.62,157.1,-207.84,9.81
63.3,2.36,9.26,157.09,-208.7,10.05
63.35,2.37,8.78,157.02,-209.53,10.41
63.4,2.38,8.61,156.96,-210.33,10.9
63.45,2.4,8.48,156.98,-211.01,11.51
63.5,2.41,8.42,157.2,-211.41,12.21
63.55,2.42,7.98,157.6,-211.46,12.9
63.6,2.43,7.88,158.12,-211.38,13.55
63.65,2.42,7.77,158.66,-211.53,14.12
63.7,2.41,7.93,159.14,-212.16,14.58
63.75,2.4,7.94,159.52,-213.25,14.91
63.8,2.4,7.97,159.78,-214.46,15.3
63.85,2.39,8.18,159.95,-215.45,15.93
63.9,2.38,8.43,160,-216.02,17.03
63.95,2.36,8.72,159.86,-216.25,18.65
64,2.34,8.83,159.62,-216.39,20.26
64.05,2.32,9.11,159.41,-216.63,21.35
64.1,2.29,9.39,159.28,-216.97,21.42
