Depth,Den,Ng,Cal,SP,Res
50,2.4,15.34,140.58,-187.24,58.04
50.05,2.41,14.56,141.04,-189.05,55.47
50.1,2.41,13.58,141.54,-189.39,52.81
50.15,2.42,13.23,142,-188.1,50.26
50.2,2.43,12.96,142.41,-185.43,48.11
50.25,2.44,12.84,142.72,-182.01,46.49
50.3,2.45,12.76,142.9,-178.44,45.4
50.35,2.45,12.92,142.96,-175.15,44.5
50.4,2.46,13.14,143.05,-172.3,43.57
50.45,2.47,13.41,143.26,-170.04,42.15
50.5,2.48,13.91,143.63,-168.5,40.22
50.55,2.49,14.46,144.15,-167.78,37.84
50.6,2.49,14.48,144.72,-167.79,35.49
50.65,2.49,14.39,145.39,-168.37,33.62
50.7,2.49,14.17,145.9,-169.04,32.48
50.75,2.48,13.71,146.32,-169.18,32.24
50.8,2.48,13.38,146.55,-168.07,32.86
50.85,2.47,13.02,146.72,-165.61,34.07
50.9,2.47,12.68,146.84,-162.35,35.61
50.95,2.47,12.54,147.03,-159.41,37.17
51,2.47,12.44,147.28,-157.75,38.8
51.05,2.47,13,147.54,-157.72,40.34
51.1,2.47,13.29,147.73,-159.04,41.53
51.15,2.46,13.46,147.91,-161.13,41.99
51.2,2.46,14.15,148.07,-163.41,41.52
51.25,2.46,14.92,148.27,-165.42,40.36
51.3,2.45,16.41,148.48,-166.82,38.76
51.35,2.45,17.87,148.69,-167.66,37.13
51.4,2.44,19.46,148.87,-168.29,35.71
51.45,2.44,20.47,148.99,-169.14,34.75
51.5,2.43,20.58,149.09,-170.29,34.35
51.55,2.42,20.41,149.14,-171.17,34.49
51.6,2.41,19.8,149.17,-171.1,35.19
51.65,2.4,18.64,149.05,-169.84,36.07
51.7,2.4,17.29,148.9,-167.78,36.84
51.75,2.4,16.39,148.67,-165.53,37.19
51.8,2.39,15.74,148.46,-163.38,37.11
51.85,2.39,15.22,148.24,-161.37,36.68
51.9,2.39,14.39,148.11,-159.47,35.79
51.95,2.39,13.72,147.95,-157.81,34.45
52,2.39,13.02,147.8,-156.53,32.71
52.05,2.38,11.95,147.56,-155.68,30.9
52.1,2.38,10.99,147.39,-155.29,29.32
52.15,2.38,9.99,147.27,-155.42,28.07
52.2,2.37,9.8,147.21,-156.27,27.09
52.25,2.36,10.16,147.22,-157.89,26.23
52.3,2.35,10.79,147.25,-160.14,25.42
52.35,2.34,10.99,147.35,-162.74,24.78
52.4,2.33,10.76,147.42,-165.44,24.71
52.45,2.33,10.35,147.54,-168.07,25.45
52.5,2.33,10.02,147.67,-170.31,27.19
52.55,2.33,9.47,147.81,-171.78,29.15
52.6,2.33,8.9,147.91,-172.14,30.87
52.65,2.34,8.68,147.96,-171.32,31.91
52.7,2.34,9.12,148.21,-169.58,32.55
52.75,2.35,9.76,148.8,-167.49,32.96
52.8,2.35,10.38,150.03,-165.7,33.43
52.85,2.35,10.83,151.51,-164.6,33.99
52.9,2.36,11.24,152.63,-164.28,34.6
52.95,2.37,12.21,152.7,-164.48,34.94
53,2.38,12.89,152.01,-164.75,34.84
53.05,2.39,13.62,151.18,-164.73,34.28
53.1,2.39,13.9,150.74,-164.2,33.45
