date,Den,Res,Ng,SP,Cal
1997/3/25 9:00,2.31,12.65,12.23,-144.59,163.56
1997/3/25 10:00,2.32,12.53,12.59,-144.28,163.34
1997/3/25 11:00,2.33,12.41,12.76,-143.71,162.89
1997/3/25 12:00,2.32,12.37,12.87,-142.95,162
1997/3/25 13:00,2.32,12.45,12.73,-142.15,161.56
1997/3/25 14:00,2.31,12.63,12.12,-141.44,161.56
1997/3/25 15:00,2.3,12.9,11.37,-140.86,162
1997/3/25 16:00,2.3,13.18,10.7,-140.36,163.11
1997/3/25 17:00,2.29,13.49,10.41,-139.87,164
1997/3/25 18:00,2.27,13.81,10.22,-139.36,164.67
1997/3/25 19:00,2.26,14.21,9.73,-138.88,164.67
1997/3/25 20:00,2.25,14.65,8.99,-138.59,164.45
1997/3/25 21:00,2.25,15.14,8.14,-138.56,164.67
1997/3/25 22:00,2.24,15.46,7.63,-138.77,165.11
1997/3/25 23:00,2.24,15.5,7.15,-139.06,165.11
1997/3/26 0:00,2.24,15.17,6.76,-139.26,165.11
1997/3/26 1:00,2.24,14.66,6.38,-139.32,164.89
1997/3/26 2:00,2.24,14.22,6.43,-139.28,164.45
1997/3/26 3:00,2.24,13.99,6.56,-139.37,164
1997/3/26 4:00,2.23,14.06,6.8,-139.72,164
1997/3/26 5:00,2.24,14.35,7.07,-140.42,164.22
1997/3/26 6:00,2.25,14.81,7.37,-141.35,164.67
1997/3/26 7:00,2.25,15.23,7.89,-142.38,164.89
1997/3/26 8:00,2.25,15.47,8.25,-143.39,165.33
1997/3/26 9:00,2.25,15.45,8.63,-144.37,165.78
1997/3/26 10:00,2.25,15.22,8.78,-145.27,166
1997/3/26 11:00,2.25,14.89,9.08,-146.1,166.22
1997/3/26 12:00,2.25,14.5,9.37,-146.87,165.56
1997/3/26 13:00,2.25,14.15,9.69,-147.59,164.22
1997/3/26 14:00,2.26,13.8,9.81,-148.27,163.56
1997/3/26 15:00,2.27,13.47,10.1,-148.83,162.89
1997/3/26 16:00,2.27,13.15,10.38,-149.25,162.89
1997/3/26 17:00,2.27,12.87,10.7,-149.53,163.78
1997/3/26 18:00,2.27,12.64,10.82,-149.77,164.89
1997/3/26 19:00,2.28,12.46,10.9,-149.98,166
1997/3/26 20:00,2.29,12.34,10.74,-150.14,166.22
1997/3/26 21:00,2.29,12.3,10.33,-150.15,166.44
1997/3/26 22:00,2.3,12.3,9.82,-149.88,166.22
1997/3/26 23:00,2.31,12.36,9.23,-149.29,166.22
1997/3/27 0:00,2.31,12.44,9.01,-148.46,166.22
1997/3/27 1:00,2.32,12.58,8.85,-147.5,166
