date,Den,Res,Cal,SP,Ng
1997/3/25 9:00,2.31,12.65,163.56,-144.59,12.23
1997/3/25 10:00,2.32,12.53,163.34,-144.28,12.59
1997/3/25 11:00,2.33,12.41,162.89,-143.71,12.76
1997/3/25 12:00,2.32,12.37,162,-142.95,12.87
1997/3/25 13:00,2.32,12.45,161.56,-142.15,12.73
1997/3/25 14:00,2.31,12.63,161.56,-141.44,12.12
1997/3/25 15:00,2.3,12.9,162,-140.86,11.37
1997/3/25 16:00,2.3,13.18,163.11,-140.36,10.7
1997/3/25 17:00,2.29,13.49,164,-139.87,10.41
1997/3/25 18:00,2.27,13.81,164.67,-139.36,10.22
1997/3/25 19:00,2.26,14.21,164.67,-138.88,9.73
1997/3/25 20:00,2.25,14.65,164.45,-138.59,8.99
1997/3/25 21:00,2.25,15.14,164.67,-138.56,8.14
1997/3/25 22:00,2.24,15.46,165.11,-138.77,7.63
1997/3/25 23:00,2.24,15.5,165.11,-139.06,7.15
1997/3/26 0:00,2.24,15.17,165.11,-139.26,6.76
1997/3/26 1:00,2.24,14.66,164.89,-139.32,6.38
1997/3/26 2:00,2.24,14.22,164.45,-139.28,6.43
1997/3/26 3:00,2.24,13.99,164,-139.37,6.56
1997/3/26 4:00,2.23,14.06,164,-139.72,6.8
1997/3/26 5:00,2.24,14.35,164.22,-140.42,7.07
1997/3/26 6:00,2.25,14.81,164.67,-141.35,7.37
1997/3/26 7:00,2.25,15.23,164.89,-142.38,7.89
1997/3/26 8:00,2.25,15.47,165.33,-143.39,8.25
1997/3/26 9:00,2.25,15.45,165.78,-144.37,8.63
1997/3/26 10:00,2.25,15.22,166,-145.27,8.78
1997/3/26 11:00,2.25,14.89,166.22,-146.1,9.08
1997/3/26 12:00,2.25,14.5,165.56,-146.87,9.37
1997/3/26 13:00,2.25,14.15,164.22,-147.59,9.69
1997/3/26 14:00,2.26,13.8,163.56,-148.27,9.81
1997/3/26 15:00,2.27,13.47,162.89,-148.83,10.1
1997/3/26 16:00,2.27,13.15,162.89,-149.25,10.38
1997/3/26 17:00,2.27,12.87,163.78,-149.53,10.7
1997/3/26 18:00,2.27,12.64,164.89,-149.77,10.82
1997/3/26 19:00,2.28,12.46,166,-149.98,10.9
1997/3/26 20:00,2.29,12.34,166.22,-150.14,10.74
1997/3/26 21:00,2.29,12.3,166.44,-150.15,10.33
1997/3/26 22:00,2.3,12.3,166.22,-149.88,9.82
1997/3/26 23:00,2.31,12.36,166.22,-149.29,9.23
1997/3/27 0:00,2.31,12.44,166.22,-148.46,9.01
1997/3/27 1:00,2.32,12.58,166,-147.5,8.85
1997/3/27 2:00,2.33,12.76,166,-146.55,8.77
1997/3/27 3:00,2.34,13.05,166,-145.72,8.12
1997/3/27 4:00,2.37,13.39,166,-145.06,7.38
1997/3/27 5:00,2.39,13.81,166,-144.64,6.5
1997/3/27 6:00,2.41,14.23,165.78,-144.45,5.98
1997/3/27 7:00,2.42,14.69,165.33,-144.47,5.5
1997/3/27 8:00,2.43,15.16,164,-144.62,5.09
1997/3/27 9:00,2.45,15.71,163.11,-144.75,4.92
1997/3/27 10:00,2.47,16.31,164.45,-144.66,4.8
1997/3/27 11:00,2.49,16.99,166.67,-144.28,5.14
1997/3/27 12:00,2.48,17.66,168,-143.69,4.99
1997/3/27 13:00,2.48,18.34,166.89,-143.16,4.83
1997/3/27 14:00,2.47,19.12,164.22,-142.92,4.36
1997/3/27 15:00,2.48,20.31,163.11,-143.09,4.24
1997/3/27 16:00,2.47,22.11,162.45,-143.64,4.12
1997/3/27 17:00,2.47,24.85,161.78,-144.46,3.87
1997/3/27 18:00,2.45,27.79,160.01,-145.44,3.6
1997/3/27 19:00,2.44,30.39,158.67,-146.41,3.49
1997/3/27 20:00,2.42,32.24,158.23,-147.24,3.62
1997/3/27 21:00,2.42,34.09,158.23,-147.82,3.62
1997/3/27 22:00,2.42,36.58,158.01,-148.16,3.45
1997/3/27 23:00,2.42,38.93,157.79,-148.35,3.21
1997/3/28 0:00,2.42,39.95,157.12,-148.47,3.33
1997/3/28 1:00,2.41,38.7,156.45,-148.58,3.91
1997/3/28 2:00,2.4,35.7,156.23,-148.62,4.65
1997/3/28 3:00,2.39,31.55,156.01,-148.54,5.91
1997/3/28 4:00,2.37,27.36,155.79,-148.29,7.31
1997/3/28 5:00,2.36,23.71,155.79,-147.94,8.85
1997/3/28 6:00,2.35,21.41,155.57,-147.51,10.23
1997/3/28 7:00,2.34,20.2,155.12,-147.01,11.22
1997/3/28 8:00,2.34,19.77,154.9,-146.47,12.09
1997/3/28 9:00,2.33,19.61,154.68,-145.95,12.86
1997/3/28 10:00,2.32,19.43,154.9,-145.53,13.59
1997/3/28 11:00,2.32,19.22,156.01,-145.29,14.29
1997/3/28 12:00,2.32,18.91,156.9,-145.3,14.58
1997/3/28 13:00,2.32,18.46,158.23,-145.58,14.57
1997/3/28 14:00,2.33,17.85,158.9,-146.02,14.03
1997/3/28 15:00,2.34,17.02,159.56,-146.5,13.32
1997/3/28 16:00,2.35,16.07,160.23,-146.79,12.47
1997/3/28 17:00,2.35,15.05,160.89,-146.83,11.56
1997/3/28 18:00,2.34,14.18,161.78,-146.58,10.61
1997/3/28 19:00,2.34,13.51,162.45,-146.14,9.63
1997/3/28 20:00,2.34,13.12,161.78,-145.52,9.25
1997/3/28 21:00,2.34,12.91,160.67,-144.78,8.98
1997/3/28 22:00,2.34,12.75,160.01,-143.95,8.85
1997/3/28 23:00,2.34,12.55,159.78,-143.23,8.56
1997/3/29 0:00,2.34,12.31,159.12,-142.77,8.48
1997/3/29 1:00,2.34,12.1,159.12,-142.75,8.61
1997/3/29 2:00,2.33,11.97,159.34,-143.12,8.62
1997/3/29 3:00,2.33,11.91,160.45,-143.76,8.45
1997/3/29 4:00,2.34,11.9,161.56,-144.44,8.21
1997/3/29 5:00,2.34,11.96,162.67,-145.04,8.13
1997/3/29 6:00,2.35,12.11,162.89,-145.5,8.27
1997/3/29 7:00,2.35,12.45,162.45,-145.85,8.48
1997/3/29 8:00,2.36,12.98,161.56,-146.14,8.15
1997/3/29 9:00,2.36,13.71,161.12,-146.46,7.73
1997/3/29 10:00,2.36,14.53,161.78,-146.86,7.18
1997/3/29 11:00,2.36,15.33,162.89,-147.35,7.18
1997/3/29 12:00,2.37,16.04,163.56,-147.87,6.67
1997/3/29 13:00,2.37,16.66,163.78,-148.33,6.17
1997/3/29 14:00,2.38,17.26,163.78,-148.63,5.77
