Den,Ng,Cal,SP,Res
2.31,12.23,163.56,-144.59,12.65
2.32,12.59,163.34,-144.28,12.53
2.33,12.76,162.89,-143.71,12.41
2.32,12.87,162,-142.95,12.37
2.32,12.73,161.56,-142.15,12.45
2.31,12.12,161.56,-141.44,12.63
2.3,11.37,162,-140.86,12.9
2.3,10.7,163.11,-140.36,13.18
2.29,10.41,164,-139.87,13.49
2.27,10.22,164.67,-139.36,13.81
2.26,9.73,164.67,-138.88,14.21
2.25,8.99,164.45,-138.59,14.65
2.25,8.14,164.67,-138.56,15.14
2.24,7.63,165.11,-138.77,15.46
2.24,7.15,165.11,-139.06,15.5
2.24,6.76,165.11,-139.26,15.17
2.24,6.38,164.89,-139.32,14.66
2.24,6.43,164.45,-139.28,14.22
2.24,6.56,164,-139.37,13.99
2.23,6.8,164,-139.72,14.06
2.24,7.07,164.22,-140.42,14.35
2.25,7.37,164.67,-141.35,14.81
2.25,7.89,164.89,-142.38,15.23
2.25,8.25,165.33,-143.39,15.47
2.25,8.63,165.78,-144.37,15.45
2.25,8.78,166,-145.27,15.22
2.25,9.08,166.22,-146.1,14.89
2.25,9.37,165.56,-146.87,14.5
2.25,9.69,164.22,-147.59,14.15
2.26,9.81,163.56,-148.27,13.8
2.27,10.1,162.89,-148.83,13.47
2.27,10.38,162.89,-149.25,13.15
2.27,10.7,163.78,-149.53,12.87
2.27,10.82,164.89,-149.77,12.64
2.28,10.9,166,-149.98,12.46
2.29,10.74,166.22,-150.14,12.34
2.29,10.33,166.44,-150.15,12.3
2.3,9.82,166.22,-149.88,12.3
2.31,9.23,166.22,-149.29,12.36
2.31,9.01,166.22,-148.46,12.44
2.32,8.85,166,-147.5,12.58
2.33,8.77,166,-146.55,12.76
2.34,8.12,166,-145.72,13.05
2.37,7.38,166,-145.06,13.39
2.39,6.5,166,-144.64,13.81
2.41,5.98,165.78,-144.45,14.23
2.42,5.5,165.33,-144.47,14.69
2.43,5.09,164,-144.62,15.16
2.45,4.92,163.11,-144.75,15.71
2.47,4.8,164.45,-144.66,16.31
2.49,5.14,166.67,-144.28,16.99
2.48,4.99,168,-143.69,17.66
2.48,4.83,166.89,-143.16,18.34
2.47,4.36,164.22,-142.92,19.12
2.48,4.24,163.11,-143.09,20.31
2.47,4.12,162.45,-143.64,22.11
2.47,3.87,161.78,-144.46,24.85
2.45,3.6,160.01,-145.44,27.79
2.44,3.49,158.67,-146.41,30.39
2.42,3.62,158.23,-147.24,32.24
2.42,3.62,158.23,-147.82,34.09
2.42,3.45,158.01,-148.16,36.58
2.42,3.21,157.79,-148.35,38.93
2.42,3.33,157.12,-148.47,39.95
2.41,3.91,156.45,-148.58,38.7
2.4,4.65,156.23,-148.62,35.7
2.39,5.91,156.01,-148.54,31.55
2.37,7.31,155.79,-148.29,27.36
2.36,8.85,155.79,-147.94,23.71
2.35,10.23,155.57,-147.51,21.41
2.34,11.22,155.12,-147.01,20.2
2.34,12.09,154.9,-146.47,19.77
2.33,12.86,154.68,-145.95,19.61
2.32,13.59,154.9,-145.53,19.43
2.32,14.29,156.01,-145.29,19.22
2.32,14.58,156.9,-145.3,18.91
2.32,14.57,158.23,-145.58,18.46
2.33,14.03,158.9,-146.02,17.85
2.34,13.32,159.56,-146.5,17.02
2.35,12.47,160.23,-146.79,16.07
2.35,11.56,160.89,-146.83,15.05
2.34,10.61,161.78,-146.58,14.18
2.34,9.63,162.45,-146.14,13.51
2.34,9.25,161.78,-145.52,13.12
2.34,8.98,160.67,-144.78,12.91
2.34,8.85,160.01,-143.95,12.75
2.34,8.56,159.78,-143.23,12.55
2.34,8.48,159.12,-142.77,12.31
2.34,8.61,159.12,-142.75,12.1
2.33,8.62,159.34,-143.12,11.97
2.33,8.45,160.45,-143.76,11.91
2.34,8.21,161.56,-144.44,11.9
2.34,8.13,162.67,-145.04,11.96
2.35,8.27,162.89,-145.5,12.11
2.35,8.48,162.45,-145.85,12.45
2.36,8.15,161.56,-146.14,12.98
2.36,7.73,161.12,-146.46,13.71
2.36,7.18,161.78,-146.86,14.53
2.36,7.18,162.89,-147.35,15.33
2.37,6.67,163.56,-147.87,16.04
2.37,6.17,163.78,-148.33,16.66
2.38,5.77,163.78,-148.63,17.26
2.38,5.99,163.78,-148.74,17.95
2.38,6.35,163.78,-148.68,18.65
2.39,6.47,163.78,-148.49,19.3
2.39,6.36,163.34,-148.04,19.72
2.39,6.37,162.67,-147.25,19.94
2.4,6.55,162.23,-146.04,19.96
2.41,6.58,162,-144.62,19.83
2.41,6.23,161.56,-143.26,19.59
2.41,5.76,161.12,-142.39,19.29
2.41,5.6,160.45,-142.15,19
2.41,5.47,160.01,-142.51,18.71
2.41,5.41,159.56,-143.25,18.43
2.41,4.98,159.12,-144.24,18.16
2.41,5.48,158.9,-145.33,17.97
2.41,6.29,159.12,-146.47,17.87
2.41,7.55,159.34,-147.51,17.84
2.4,8.37,159.78,-148.37,17.93
2.4,8.99,159.78,-148.99,18.14
2.4,9.67,159.78,-149.39,18.53
2.4,10.53,159.56,-149.65,18.97
2.4,11.44,159.56,-149.79,19.46
2.39,12.39,159.56,-149.82,19.86
2.38,13.17,159.56,-149.62,20.18
2.38,13.91,159.56,-149.19,20.31
2.38,14.82,159.56,-148.53,20.21
2.39,15.15,159.56,-148.03,19.91
2.4,15.39,159.56,-147.91,19.39
2.42,14.91,159.78,-148.43,18.74
2.42,14.46,160.67,-149.28,18
2.43,13.87,161.78,-150.14,17.37
2.44,13.87,164.89,-150.53,16.95
2.45,14.15,168.89,-150.36,16.84
2.47,14.6,172.66,-149.79,16.95
2.48,14.55,171.55,-149.26,17.35
2.49,14.43,168.22,-149.22,17.91
2.48,14,168,-149.85,18.75
2.48,13.69,168.66,-151.14,19.83
2.47,13.34,170.88,-152.7,21.44
2.46,13.2,172.88,-154.09,23.44
2.45,13.11,170.66,-154.91,25.85
2.44,13.46,165.78,-155.03,27.99
2.42,13.71,164.22,-154.58,29.47
2.41,14.04,163.34,-153.88,29.96
2.4,14.15,163.34,-153.29,29.66
2.4,14.44,162.89,-153.07,29.14
2.4,14.92,162.45,-153.3,28.71
2.41,15.27,161.78,-153.93,28.56
2.41,15.64,161.34,-154.76,28.38
2.41,15.58,160.67,-155.59,28.06
2.41,15.44,160.23,-156.23,27.45
2.41,15.21,160.01,-156.64,26.67
2.41,14.53,159.78,-156.83,25.69
2.41,13.75,159.78,-156.91,24.77
2.4,13.26,159.78,-156.92,23.95
2.4,12.8,160.01,-156.93,23.32
2.4,12.21,160.01,-156.97,22.74
2.41,11.2,160.23,-157.07,22.12
2.41,10.48,160.45,-157.2,21.46
2.41,9.74,160.89,-157.18,20.81
2.41,9.04,161.78,-156.74,20.26
2.41,8.76,162.67,-155.7,19.8
2.41,8.76,161.56,-154.16,19.43
2.42,8.9,159.78,-152.48,19.05
2.42,9.13,158.9,-151.22,18.62
2.43,9.41,159.34,-150.74,18.13
2.44,9.11,160.23,-151.13,17.61
2.44,8.9,159.78,-152.18,17.24
2.44,8.6,156.68,-153.65,17.11
2.43,9.3,154.9,-155.28,17.26
2.43,9.78,154.01,-156.92,17.56
2.41,10.62,154.01,-158.36,17.89
2.4,11.08,154.01,-159.37,18.2
2.4,11.34,153.79,-159.7,18.45
2.39,11.08,153.79,-159.31,18.62
2.38,10.69,153.79,-158.39,18.66
2.37,10.35,153.57,-157.31,18.58
2.37,10.01,153.35,-156.42,18.34
2.36,9.67,152.9,-155.82,18.06
2.36,9.14,152.68,-155.35,17.91
2.36,8.76,152.46,-154.81,18
2.36,8.18,152.46,-154.15,18.3
2.36,7.79,152.24,-153.49,18.59
2.36,7.19,152.24,-153.05,18.74
2.36,6.8,152.24,-153,18.75
2.36,6.8,152.24,-153.43,18.81
2.36,7.92,152.24,-154.25,19
2.36,9.34,152.24,-155.36,19.25
2.37,11.05,152.24,-156.52,19.33
2.37,12.28,152.24,-157.58,19.18
2.38,13.67,152.46,-158.52,18.96
2.38,14.59,152.46,-159.41,18.95
2.39,15.05,152.46,-160.36,19.25
2.39,15.33,152.46,-161.37,19.67
2.39,15.48,152.46,-162.3,19.91
2.4,16.16,152.68,-162.95,19.81
2.4,16.73,152.9,-163.17,19.57
2.4,17.38,153.12,-162.98,19.47
2.39,17.42,153.79,-162.46,19.82
2.39,17.16,154.46,-161.76,20.52
2.38,16.72,154.68,-161.03,21.39
2.37,16.98,154.46,-160.39,22.16
2.37,17.34,154.46,-160,22.72
2.37,17.66,154.23,-159.9,23.11
2.36,17.4,154.46,-160.1,23.4
2.35,17.41,154.68,-160.51,23.63
2.35,17.36,154.68,-161.01,23.77
2.34,17.36,154.68,-161.49,23.67
2.35,16.74,154.9,-161.92,23.28
2.35,16.02,154.9,-162.31,22.65
