date,Den,Res,Ng,Cal,SP
1997/3/25 9:00,2.31,12.65,12.23,163.56,-144.59
1997/3/25 10:00,2.32,12.53,12.59,163.34,-144.28
1997/3/25 11:00,2.33,12.41,12.76,162.89,-143.71
1997/3/25 12:00,2.32,12.37,12.87,162,-142.95
1997/3/25 13:00,2.32,12.45,12.73,161.56,-142.15
1997/3/25 14:00,2.31,12.63,12.12,161.56,-141.44
1997/3/25 15:00,2.3,12.9,11.37,162,-140.86
1997/3/25 16:00,2.3,13.18,10.7,163.11,-140.36
1997/3/25 17:00,2.29,13.49,10.41,164,-139.87
1997/3/25 18:00,2.27,13.81,10.22,164.67,-139.36
1997/3/25 19:00,2.26,14.21,9.73,164.67,-138.88
1997/3/25 20:00,2.25,14.65,8.99,164.45,-138.59
1997/3/25 21:00,2.25,15.14,8.14,164.67,-138.56
1997/3/25 22:00,2.24,15.46,7.63,165.11,-138.77
1997/3/25 23:00,2.24,15.5,7.15,165.11,-139.06
1997/3/26 0:00,2.24,15.17,6.76,165.11,-139.26
1997/3/26 1:00,2.24,14.66,6.38,164.89,-139.32
1997/3/26 2:00,2.24,14.22,6.43,164.45,-139.28
1997/3/26 3:00,2.24,13.99,6.56,164,-139.37
1997/3/26 4:00,2.23,14.06,6.8,164,-139.72
1997/3/26 5:00,2.24,14.35,7.07,164.22,-140.42
1997/3/26 6:00,2.25,14.81,7.37,164.67,-141.35
1997/3/26 7:00,2.25,15.23,7.89,164.89,-142.38
1997/3/26 8:00,2.25,15.47,8.25,165.33,-143.39
1997/3/26 9:00,2.25,15.45,8.63,165.78,-144.37
1997/3/26 10:00,2.25,15.22,8.78,166,-145.27
1997/3/26 11:00,2.25,14.89,9.08,166.22,-146.1
1997/3/26 12:00,2.25,14.5,9.37,165.56,-146.87
1997/3/26 13:00,2.25,14.15,9.69,164.22,-147.59
1997/3/26 14:00,2.26,13.8,9.81,163.56,-148.27
1997/3/26 15:00,2.27,13.47,10.1,162.89,-148.83
1997/3/26 16:00,2.27,13.15,10.38,162.89,-149.25
1997/3/26 17:00,2.27,12.87,10.7,163.78,-149.53
1997/3/26 18:00,2.27,12.64,10.82,164.89,-149.77
1997/3/26 19:00,2.28,12.46,10.9,166,-149.98
1997/3/26 20:00,2.29,12.34,10.74,166.22,-150.14
1997/3/26 21:00,2.29,12.3,10.33,166.44,-150.15
1997/3/26 22:00,2.3,12.3,9.82,166.22,-149.88
1997/3/26 23:00,2.31,12.36,9.23,166.22,-149.29
1997/3/27 0:00,2.31,12.44,9.01,166.22,-148.46
1997/3/27 1:00,2.32,12.58,8.85,166,-147.5
1997/3/27 2:00,2.33,12.76,8.77,166,-146.55
1997/3/27 3:00,2.34,13.05,8.12,166,-145.72
1997/3/27 4:00,2.37,13.39,7.38,166,-145.06
1997/3/27 5:00,2.39,13.81,6.5,166,-144.64
1997/3/27 6:00,2.41,14.23,5.98,165.78,-144.45
1997/3/27 7:00,2.42,14.69,5.5,165.33,-144.47
