Depth,Den,Ng,SP,Res,Cal
100,0,8.77,-556.13,12.42,199.08
100.05,0,9.28,-556.2,12.52,199.52
100.1,0,9.61,-556.3,12.66,199.97
100.15,0,9.98,-556.4,12.84,200.41
100.2,0,9.72,-556.53,13.03,201.08
100.25,0,9.34,-556.69,13.21,201.52
100.3,0,8.81,-556.87,13.42,201.74
100.35,0,8.23,-557.1,13.64,201.74
100.4,0,7.81,-557.37,13.88,201.74
100.45,0,7.21,-557.68,14.17,202.19
100.5,0,7,-558.02,14.58,202.63
100.55,0,6.84,-558.37,15.18,203.52
100.6,0,6.97,-558.71,16,204.41
100.65,0,6.96,-559.01,17.12,205.52
100.7,0,6.99,-559.25,18.53,207.96
100.75,0,7.19,-559.41,20.17,210.4
100.8,0,7.64,-559.49,21.67,210.84
100.85,0,8.17,-559.5,22.91,208.4
100.9,0,8.96,-559.44,23.6,205.52
100.95,0,10.03,-559.33,23.93,205.07
101,0,11.2,-559.17,23.83,204.63
101.05,0,12.44,-559,23.47,204.63
101.1,0,13.53,-558.82,22.62,204.85
101.15,0,14.6,-558.65,21.43,205.29
101.2,0,15.63,-558.5,19.99,205.96
101.25,0,16.24,-558.37,18.67,208.18
101.3,0,16.77,-558.26,17.63,211.51
101.35,0,16.8,-558.16,16.99,217.5
101.4,0,16.72,-558.07,16.69,217.5
101.45,0,15.9,-557.98,16.56,214.62
101.5,0,14.92,-557.89,16.47,211.73
101.55,0,13.77,-557.81,16.32,210.62
101.6,0,12.94,-557.72,16.16,208.4
101.65,0,12.14,-557.63,15.99,207.07
101.7,0,11.22,-557.54,15.84,206.18
101.75,0,11.07,-557.46,15.71,205.96
101.8,0,11.06,-557.39,15.54,205.74
101.85,0,11.83,-557.33,15.36,205.74
101.9,0,12.58,-557.3,15.12,205.52
101.95,0,13.48,-557.28,14.89,205.74
102,0,14.01,-557.28,14.72,206.18
102.05,0,14.7,-557.27,14.71,208.4
102.1,0,15.14,-557.27,14.83,211.51
102.15,0,15.77,-557.25,15.05,213.51
102.2,0,15.38,-557.2,15.28,210.4
102.25,0,15.03,-557.13,15.48,205.96
102.3,0,14.48,-557.04,15.59,202.63
102.35,0,13.5,-556.92,15.61,202.19
102.4,0,12.2,-556.78,15.54,202.63
102.45,0,10.74,-556.62,15.36,205.07
102.5,0,9.39,-556.45,15.07,207.29
102.55,0,8.63,-556.28,14.71,205.96
102.6,0,8,-556.1,14.3,202.85
102.65,0,7.93,-555.94,13.92,201.08
102.7,0,7.99,-555.79,13.5,200.63
102.75,0,8.18,-555.66,13.11,200.41
102.8,0,8.83,-555.54,12.72,200.41
102.85,0,9.4,-555.44,12.44,200.41
102.9,0,9.85,-555.34,12.25,200.63
102.95,0,10.05,-555.26,12.12,200.63
103,0,10.18,-555.18,12,200.85
103.05,0,10.45,-555.12,11.87,201.08
103.1,0,10.73,-555.05,11.74,201.08
103.15,0,10.63,-555,11.62,201.08
103.2,0,10.27,-554.95,11.53,200.85
103.25,0,9.78,-554.89,11.48,200.85
103.3,0,9.21,-554.85,11.46,200.85
103.35,0,8.6,-554.81,11.41,200.85
103.4,0,7.96,-554.78,11.32,200.85
103.45,0,7.51,-554.76,11.17,200.85
103.5,0,7.5,-554.76,11.05,200.63
103.55,0,7.6,-554.79,10.99,199.74
103.6,0,7.62,-554.83,10.97,199.08
103.65,0,7.64,-554.9,10.98,199.52
103.7,0,7.65,-554.99,11.04,200.41
103.75,0,7.86,-555.1,11.16,200.85
103.8,0,8.1,-555.24,11.33,200.85
103.85,0,8.39,-555.4,11.52,200.85
103.9,0,8.7,-555.57,11.76,200.85
103.95,0,9.02,-555.75,12.03,200.85
104,0,9.14,-555.94,12.34,201.3
104.05,0,9.23,-556.13,12.72,201.96
104.1,0,8.88,-556.3,13.13,203.3
104.15,0,8.82,-556.45,13.62,203.96
104.2,0,8.74,-556.57,14.09,204.41
104.25,0,9.11,-556.66,14.48,205.07
104.3,0,9.37,-556.73,14.74,205.96
104.35,0,9.5,-556.78,14.9,206.18
