Depth,Ng,Cal,SP,Res,Den
100,8.77,199.08,-556.13,12.42,0
100.05,9.28,199.52,-556.2,12.52,0
100.1,9.61,199.97,-556.3,12.66,0
100.15,9.98,200.41,-556.4,12.84,0
100.2,9.72,201.08,-556.53,13.03,0
100.25,9.34,201.52,-556.69,13.21,0
100.3,8.81,201.74,-556.87,13.42,0
100.35,8.23,201.74,-557.1,13.64,0
100.4,7.81,201.74,-557.37,13.88,0
100.45,7.21,202.19,-557.68,14.17,0
100.5,7,202.63,-558.02,14.58,0
100.55,6.84,203.52,-558.37,15.18,0
100.6,6.97,204.41,-558.71,16,0
100.65,6.96,205.52,-559.01,17.12,0
100.7,6.99,207.96,-559.25,18.53,0
100.75,7.19,210.4,-559.41,20.17,0
100.8,7.64,210.84,-559.49,21.67,0
100.85,8.17,208.4,-559.5,22.91,0
100.9,8.96,205.52,-559.44,23.6,0
100.95,10.03,205.07,-559.33,23.93,0
101,11.2,204.63,-559.17,23.83,0
101.05,12.44,204.63,-559,23.47,0
101.1,13.53,204.85,-558.82,22.62,0
101.15,14.6,205.29,-558.65,21.43,0
101.2,15.63,205.96,-558.5,19.99,0
101.25,16.24,208.18,-558.37,18.67,0
101.3,16.77,211.51,-558.26,17.63,0
101.35,16.8,217.5,-558.16,16.99,0
101.4,16.72,217.5,-558.07,16.69,0
101.45,15.9,214.62,-557.98,16.56,0
101.5,14.92,211.73,-557.89,16.47,0
101.55,13.77,210.62,-557.81,16.32,0
101.6,12.94,208.4,-557.72,16.16,0
101.65,12.14,207.07,-557.63,15.99,0
101.7,11.22,206.18,-557.54,15.84,0
101.75,11.07,205.96,-557.46,15.71,0
101.8,11.06,205.74,-557.39,15.54,0
101.85,11.83,205.74,-557.33,15.36,0
101.9,12.58,205.52,-557.3,15.12,0
101.95,13.48,205.74,-557.28,14.89,0
102,14.01,206.18,-557.28,14.72,0
102.05,14.7,208.4,-557.27,14.71,0
102.1,15.14,211.51,-557.27,14.83,0
102.15,15.77,213.51,-557.25,15.05,0
102.2,15.38,210.4,-557.2,15.28,0
102.25,15.03,205.96,-557.13,15.48,0
102.3,14.48,202.63,-557.04,15.59,0
102.35,13.5,202.19,-556.92,15.61,0
102.4,12.2,202.63,-556.78,15.54,0
102.45,10.74,205.07,-556.62,15.36,0
102.5,9.39,207.29,-556.45,15.07,0
102.55,8.63,205.96,-556.28,14.71,0
102.6,8,202.85,-556.1,14.3,0
102.65,7.93,201.08,-555.94,13.92,0
102.7,7.99,200.63,-555.79,13.5,0
102.75,8.18,200.41,-555.66,13.11,0
102.8,8.83,200.41,-555.54,12.72,0
102.85,9.4,200.41,-555.44,12.44,0
102.9,9.85,200.63,-555.34,12.25,0
102.95,10.05,200.63,-555.26,12.12,0
103,10.18,200.85,-555.18,12,0
103.05,10.45,201.08,-555.12,11.87,0
103.1,10.73,201.08,-555.05,11.74,0
103.15,10.63,201.08,-555,11.62,0
103.2,10.27,200.85,-554.95,11.53,0
103.25,9.78,200.85,-554.89,11.48,0
103.3,9.21,200.85,-554.85,11.46,0
103.35,8.6,200.85,-554.81,11.41,0
103.4,7.96,200.85,-554.78,11.32,0
103.45,7.51,200.85,-554.76,11.17,0
103.5,7.5,200.63,-554.76,11.05,0
103.55,7.6,199.74,-554.79,10.99,0
103.6,7.62,199.08,-554.83,10.97,0
103.65,7.64,199.52,-554.9,10.98,0
103.7,7.65,200.41,-554.99,11.04,0
103.75,7.86,200.85,-555.1,11.16,0
103.8,8.1,200.85,-555.24,11.33,0
103.85,8.39,200.85,-555.4,11.52,0
103.9,8.7,200.85,-555.57,11.76,0
103.95,9.02,200.85,-555.75,12.03,0
104,9.14,201.3,-555.94,12.34,0
104.05,9.23,201.96,-556.13,12.72,0
104.1,8.88,203.3,-556.3,13.13,0
104.15,8.82,203.96,-556.45,13.62,0
104.2,8.74,204.41,-556.57,14.09,0
104.25,9.11,205.07,-556.66,14.48,0
104.3,9.37,205.96,-556.73,14.74,0
104.35,9.5,206.18,-556.78,14.9,0
104.4,9.37,205.96,-556.84,14.97,0
104.45,9.17,205.29,-556.9,14.89,0
104.5,9.31,204.85,-556.99,14.7,0
104.55,9.5,203.96,-557.1,14.49,0
104.6,9.76,203.52,-557.23,14.42,0
104.65,9.85,203.74,-557.37,14.61,0
104.7,10.32,204.18,-557.5,15.01,0
104.75,10.84,204.85,-557.63,15.54,0
104.8,11.23,205.74,-557.75,16,0
104.85,11.21,206.4,-557.86,16.35,0
104.9,10.89,206.63,-557.95,16.56,0
104.95,10.42,206.4,-558.04,16.67,0
105,9.86,206.18,-558.12,16.78,0
105.05,9.46,206.18,-558.19,16.93,0
105.1,9.06,206.18,-558.25,17.09,0
105.15,8.7,206.18,-558.3,17.23,0
105.2,8.15,206.63,-558.33,17.32,0
105.25,7.57,207.07,-558.34,17.42,0
105.3,6.95,207.29,-558.34,17.49,0
105.35,6.1,207.29,-558.32,17.53,0
105.4,5.41,207.07,-558.29,17.47,0
105.45,4.7,207.29,-558.23,17.35,0
105.5,4.42,207.74,-558.17,17.19,0
105.55,4.23,208.62,-558.09,17.02,0
105.6,4.13,209.29,-558,16.84,0
105.65,4.27,209.51,-557.89,16.68,0
105.7,4.68,209.51,-557.75,16.58,0
105.75,5.19,209.29,-557.6,16.49,0
105.8,5.57,209.07,-557.44,16.39,0
105.85,5.75,208.62,-557.28,16.14,0
105.9,5.87,208.62,-557.14,15.77,0
105.95,6.32,208.85,-557.02,15.23,0
106,6.84,209.29,-556.94,14.69,0
106.05,7.43,209.29,-556.9,14.19,0
106.1,8.05,208.62,-556.92,13.88,0
106.15,8.9,208.18,-556.97,13.75,0
106.2,9.79,207.74,-557.06,13.81,0
106.25,9.94,206.63,-557.16,14.02,0
106.3,9.95,205.29,-557.26,14.4,0
106.35,9.78,205.07,-557.34,14.9,0
106.4,10.34,207.29,-557.4,15.47,0
106.45,10.82,210.4,-557.43,15.92,0
106.5,11.43,212.4,-557.43,16.22,0
106.55,11.45,212.84,-557.39,16.33,0
106.6,11.38,211.51,-557.32,16.33,0
106.65,11.17,211.51,-557.23,16.23,0
106.7,10.71,211.73,-557.1,16.04,0
106.75,10.18,211.73,-556.95,15.82,0
106.8,9.78,211.73,-556.78,15.6,0
106.85,9.99,211.73,-556.6,15.37,0
106.9,10.35,211.95,-556.42,15.03,0
106.95,10.27,211.95,-556.24,14.59,0
107,9.72,211.73,-556.07,14.07,0
107.05,9,211.51,-555.92,13.54,0
107.1,8.75,211.07,-555.8,13.11,0
