Depth,Den,Cal,SP,Res,Ng
100,0,199.08,-556.13,12.42,8.77
100.05,0,199.52,-556.2,12.52,9.28
100.1,0,199.97,-556.3,12.66,9.61
100.15,0,200.41,-556.4,12.84,9.98
100.2,0,201.08,-556.53,13.03,9.72
100.25,0,201.52,-556.69,13.21,9.34
100.3,0,201.74,-556.87,13.42,8.81
100.35,0,201.74,-557.1,13.64,8.23
100.4,0,201.74,-557.37,13.88,7.81
100.45,0,202.19,-557.68,14.17,7.21
100.5,0,202.63,-558.02,14.58,7
100.55,0,203.52,-558.37,15.18,6.84
100.6,0,204.41,-558.71,16,6.97
100.65,0,205.52,-559.01,17.12,6.96
100.7,0,207.96,-559.25,18.53,6.99
100.75,0,210.4,-559.41,20.17,7.19
100.8,0,210.84,-559.49,21.67,7.64
100.85,0,208.4,-559.5,22.91,8.17
100.9,0,205.52,-559.44,23.6,8.96
100.95,0,205.07,-559.33,23.93,10.03
101,0,204.63,-559.17,23.83,11.2
101.05,0,204.63,-559,23.47,12.44
101.1,0,204.85,-558.82,22.62,13.53
101.15,0,205.29,-558.65,21.43,14.6
101.2,0,205.96,-558.5,19.99,15.63
101.25,0,208.18,-558.37,18.67,16.24
101.3,0,211.51,-558.26,17.63,16.77
101.35,0,217.5,-558.16,16.99,16.8
101.4,0,217.5,-558.07,16.69,16.72
101.45,0,214.62,-557.98,16.56,15.9
101.5,0,211.73,-557.89,16.47,14.92
101.55,0,210.62,-557.81,16.32,13.77
101.6,0,208.4,-557.72,16.16,12.94
101.65,0,207.07,-557.63,15.99,12.14
101.7,0,206.18,-557.54,15.84,11.22
101.75,0,205.96,-557.46,15.71,11.07
101.8,0,205.74,-557.39,15.54,11.06
101.85,0,205.74,-557.33,15.36,11.83
101.9,0,205.52,-557.3,15.12,12.58
101.95,0,205.74,-557.28,14.89,13.48
102,0,206.18,-557.28,14.72,14.01
102.05,0,208.4,-557.27,14.71,14.7
102.1,0,211.51,-557.27,14.83,15.14
102.15,0,213.51,-557.25,15.05,15.77
102.2,0,210.4,-557.2,15.28,15.38
102.25,0,205.96,-557.13,15.48,15.03
102.3,0,202.63,-557.04,15.59,14.48
102.35,0,202.19,-556.92,15.61,13.5
102.4,0,202.63,-556.78,15.54,12.2
102.45,0,205.07,-556.62,15.36,10.74
102.5,0,207.29,-556.45,15.07,9.39
102.55,0,205.96,-556.28,14.71,8.63
102.6,0,202.85,-556.1,14.3,8
102.65,0,201.08,-555.94,13.92,7.93
102.7,0,200.63,-555.79,13.5,7.99
102.75,0,200.41,-555.66,13.11,8.18
102.8,0,200.41,-555.54,12.72,8.83
102.85,0,200.41,-555.44,12.44,9.4
102.9,0,200.63,-555.34,12.25,9.85
102.95,0,200.63,-555.26,12.12,10.05
103,0,200.85,-555.18,12,10.18
103.05,0,201.08,-555.12,11.87,10.45
103.1,0,201.08,-555.05,11.74,10.73
103.15,0,201.08,-555,11.62,10.63
103.2,0,200.85,-554.95,11.53,10.27
103.25,0,200.85,-554.89,11.48,9.78
103.3,0,200.85,-554.85,11.46,9.21
103.35,0,200.85,-554.81,11.41,8.6
103.4,0,200.85,-554.78,11.32,7.96
103.45,0,200.85,-554.76,11.17,7.51
103.5,0,200.63,-554.76,11.05,7.5
103.55,0,199.74,-554.79,10.99,7.6
103.6,0,199.08,-554.83,10.97,7.62
103.65,0,199.52,-554.9,10.98,7.64
103.7,0,200.41,-554.99,11.04,7.65
103.75,0,200.85,-555.1,11.16,7.86
103.8,0,200.85,-555.24,11.33,8.1
103.85,0,200.85,-555.4,11.52,8.39
103.9,0,200.85,-555.57,11.76,8.7
103.95,0,200.85,-555.75,12.03,9.02
104,0,201.3,-555.94,12.34,9.14
104.05,0,201.96,-556.13,12.72,9.23
104.1,0,203.3,-556.3,13.13,8.88
104.15,0,203.96,-556.45,13.62,8.82
104.2,0,204.41,-556.57,14.09,8.74
104.25,0,205.07,-556.66,14.48,9.11
104.3,0,205.96,-556.73,14.74,9.37
104.35,0,206.18,-556.78,14.9,9.5
104.4,0,205.96,-556.84,14.97,9.37
104.45,0,205.29,-556.9,14.89,9.17
104.5,0,204.85,-556.99,14.7,9.31
104.55,0,203.96,-557.1,14.49,9.5
104.6,0,203.52,-557.23,14.42,9.76
104.65,0,203.74,-557.37,14.61,9.85
104.7,0,204.18,-557.5,15.01,10.32
104.75,0,204.85,-557.63,15.54,10.84
104.8,0,205.74,-557.75,16,11.23
104.85,0,206.4,-557.86,16.35,11.21
104.9,0,206.63,-557.95,16.56,10.89
104.95,0,206.4,-558.04,16.67,10.42
105,0,206.18,-558.12,16.78,9.86
105.05,0,206.18,-558.19,16.93,9.46
105.1,0,206.18,-558.25,17.09,9.06
105.15,0,206.18,-558.3,17.23,8.7
105.2,0,206.63,-558.33,17.32,8.15
105.25,0,207.07,-558.34,17.42,7.57
105.3,0,207.29,-558.34,17.49,6.95
105.35,0,207.29,-558.32,17.53,6.1
105.4,0,207.07,-558.29,17.47,5.41
105.45,0,207.29,-558.23,17.35,4.7
105.5,0,207.74,-558.17,17.19,4.42
105.55,0,208.62,-558.09,17.02,4.23
105.6,0,209.29,-558,16.84,4.13
105.65,0,209.51,-557.89,16.68,4.27
105.7,0,209.51,-557.75,16.58,4.68
105.75,0,209.29,-557.6,16.49,5.19
105.8,0,209.07,-557.44,16.39,5.57
105.85,0,208.62,-557.28,16.14,5.75
105.9,0,208.62,-557.14,15.77,5.87
105.95,0,208.85,-557.02,15.23,6.32
106,0,209.29,-556.94,14.69,6.84
106.05,0,209.29,-556.9,14.19,7.43
106.1,0,208.62,-556.92,13.88,8.05
106.15,0,208.18,-556.97,13.75,8.9
106.2,0,207.74,-557.06,13.81,9.79
106.25,0,206.63,-557.16,14.02,9.94
106.3,0,205.29,-557.26,14.4,9.95
106.35,0,205.07,-557.34,14.9,9.78
106.4,0,207.29,-557.4,15.47,10.34
106.45,0,210.4,-557.43,15.92,10.82
106.5,0,212.4,-557.43,16.22,11.43
106.55,0,212.84,-557.39,16.33,11.45
106.6,0,211.51,-557.32,16.33,11.38
106.65,0,211.51,-557.23,16.23,11.17
106.7,0,211.73,-557.1,16.04,10.71
106.75,0,211.73,-556.95,15.82,10.18
106.8,0,211.73,-556.78,15.6,9.78
106.85,0,211.73,-556.6,15.37,9.99
106.9,0,211.95,-556.42,15.03,10.35
106.95,0,211.95,-556.24,14.59,10.27
107,0,211.73,-556.07,14.07,9.72
107.05,0,211.51,-555.92,13.54,9
107.1,0,211.07,-555.8,13.11,8.75
107.15,0,210.4,-555.69,12.77,8.75
107.2,0,209.73,-555.61,12.54,8.9
107.25,0,208.62,-555.56,12.35,8.73
107.3,0,208.18,-555.52,12.2,8.73
107.35,0,207.96,-555.51,12.11,8.69
107.4,0,207.96,-555.53,12.06,8.68
107.45,0,208.18,-555.56,12.06,8.28
107.5,0,208.4,-555.61,12.07,7.79
107.55,0,208.62,-555.68,12.11,7.61
107.6,0,208.62,-555.76,12.2,7.48
107.65,0,208.4,-555.84,12.36,7.42
