Depth,Den,Ng,Cal,SP,Res
100,0,8.77,199.08,-556.13,12.42
100.05,0,9.28,199.52,-556.2,12.52
100.1,0,9.61,199.97,-556.3,12.66
100.15,0,9.98,200.41,-556.4,12.84
100.2,0,9.72,201.08,-556.53,13.03
100.25,0,9.34,201.52,-556.69,13.21
100.3,0,8.81,201.74,-556.87,13.42
100.35,0,8.23,201.74,-557.1,13.64
100.4,0,7.81,201.74,-557.37,13.88
100.45,0,7.21,202.19,-557.68,14.17
100.5,0,7,202.63,-558.02,14.58
100.55,0,6.84,203.52,-558.37,15.18
100.6,0,6.97,204.41,-558.71,16
100.65,0,6.96,205.52,-559.01,17.12
100.7,0,6.99,207.96,-559.25,18.53
100.75,0,7.19,210.4,-559.41,20.17
100.8,0,7.64,210.84,-559.49,21.67
100.85,0,8.17,208.4,-559.5,22.91
100.9,0,8.96,205.52,-559.44,23.6
100.95,0,10.03,205.07,-559.33,23.93
101,0,11.2,204.63,-559.17,23.83
101.05,0,12.44,204.63,-559,23.47
101.1,0,13.53,204.85,-558.82,22.62
101.15,0,14.6,205.29,-558.65,21.43
101.2,0,15.63,205.96,-558.5,19.99
101.25,0,16.24,208.18,-558.37,18.67
101.3,0,16.77,211.51,-558.26,17.63
101.35,0,16.8,217.5,-558.16,16.99
101.4,0,16.72,217.5,-558.07,16.69
101.45,0,15.9,214.62,-557.98,16.56
101.5,0,14.92,211.73,-557.89,16.47
101.55,0,13.77,210.62,-557.81,16.32
101.6,0,12.94,208.4,-557.72,16.16
101.65,0,12.14,207.07,-557.63,15.99
101.7,0,11.22,206.18,-557.54,15.84
101.75,0,11.07,205.96,-557.46,15.71
101.8,0,11.06,205.74,-557.39,15.54
101.85,0,11.83,205.74,-557.33,15.36
101.9,0,12.58,205.52,-557.3,15.12
101.95,0,13.48,205.74,-557.28,14.89
102,0,14.01,206.18,-557.28,14.72
102.05,0,14.7,208.4,-557.27,14.71
102.1,0,15.14,211.51,-557.27,14.83
102.15,0,15.77,213.51,-557.25,15.05
102.2,0,15.38,210.4,-557.2,15.28
102.25,0,15.03,205.96,-557.13,15.48
102.3,0,14.48,202.63,-557.04,15.59
102.35,0,13.5,202.19,-556.92,15.61
102.4,0,12.2,202.63,-556.78,15.54
102.45,0,10.74,205.07,-556.62,15.36
102.5,0,9.39,207.29,-556.45,15.07
102.55,0,8.63,205.96,-556.28,14.71
102.6,0,8,202.85,-556.1,14.3
102.65,0,7.93,201.08,-555.94,13.92
102.7,0,7.99,200.63,-555.79,13.5
102.75,0,8.18,200.41,-555.66,13.11
102.8,0,8.83,200.41,-555.54,12.72
102.85,0,9.4,200.41,-555.44,12.44
102.9,0,9.85,200.63,-555.34,12.25
102.95,0,10.05,200.63,-555.26,12.12
103,0,10.18,200.85,-555.18,12
103.05,0,10.45,201.08,-555.12,11.87
103.1,0,10.73,201.08,-555.05,11.74
103.15,0,10.63,201.08,-555,11.62
103.2,0,10.27,200.85,-554.95,11.53
103.25,0,9.78,200.85,-554.89,11.48
103.3,0,9.21,200.85,-554.85,11.46
103.35,0,8.6,200.85,-554.81,11.41
103.4,0,7.96,200.85,-554.78,11.32
103.45,0,7.51,200.85,-554.76,11.17
103.5,0,7.5,200.63,-554.76,11.05
103.55,0,7.6,199.74,-554.79,10.99
103.6,0,7.62,199.08,-554.83,10.97
103.65,0,7.64,199.52,-554.9,10.98
103.7,0,7.65,200.41,-554.99,11.04
103.75,0,7.86,200.85,-555.1,11.16
103.8,0,8.1,200.85,-555.24,11.33
103.85,0,8.39,200.85,-555.4,11.52
103.9,0,8.7,200.85,-555.57,11.76
103.95,0,9.02,200.85,-555.75,12.03
104,0,9.14,201.3,-555.94,12.34
104.05,0,9.23,201.96,-556.13,12.72
104.1,0,8.88,203.3,-556.3,13.13
104.15,0,8.82,203.96,-556.45,13.62
104.2,0,8.74,204.41,-556.57,14.09
104.25,0,9.11,205.07,-556.66,14.48
104.3,0,9.37,205.96,-556.73,14.74
104.35,0,9.5,206.18,-556.78,14.9
104.4,0,9.37,205.96,-556.84,14.97
104.45,0,9.17,205.29,-556.9,14.89
104.5,0,9.31,204.85,-556.99,14.7
104.55,0,9.5,203.96,-557.1,14.49
104.6,0,9.76,203.52,-557.23,14.42
104.65,0,9.85,203.74,-557.37,14.61
104.7,0,10.32,204.18,-557.5,15.01
104.75,0,10.84,204.85,-557.63,15.54
104.8,0,11.23,205.74,-557.75,16
104.85,0,11.21,206.4,-557.86,16.35
104.9,0,10.89,206.63,-557.95,16.56
104.95,0,10.42,206.4,-558.04,16.67
105,0,9.86,206.18,-558.12,16.78
105.05,0,9.46,206.18,-558.19,16.93
105.1,0,9.06,206.18,-558.25,17.09
