Depth,Den,Ng,Cal,Res,SP
100,0,8.77,199.08,12.42,-556.13
100.05,0,9.28,199.52,12.52,-556.2
100.1,0,9.61,199.97,12.66,-556.3
100.15,0,9.98,200.41,12.84,-556.4
100.2,0,9.72,201.08,13.03,-556.53
100.25,0,9.34,201.52,13.21,-556.69
100.3,0,8.81,201.74,13.42,-556.87
100.35,0,8.23,201.74,13.64,-557.1
100.4,0,7.81,201.74,13.88,-557.37
100.45,0,7.21,202.19,14.17,-557.68
100.5,0,7,202.63,14.58,-558.02
100.55,0,6.84,203.52,15.18,-558.37
100.6,0,6.97,204.41,16,-558.71
100.65,0,6.96,205.52,17.12,-559.01
100.7,0,6.99,207.96,18.53,-559.25
100.75,0,7.19,210.4,20.17,-559.41
100.8,0,7.64,210.84,21.67,-559.49
100.85,0,8.17,208.4,22.91,-559.5
100.9,0,8.96,205.52,23.6,-559.44
100.95,0,10.03,205.07,23.93,-559.33
101,0,11.2,204.63,23.83,-559.17
101.05,0,12.44,204.63,23.47,-559
101.1,0,13.53,204.85,22.62,-558.82
101.15,0,14.6,205.29,21.43,-558.65
101.2,0,15.63,205.96,19.99,-558.5
101.25,0,16.24,208.18,18.67,-558.37
101.3,0,16.77,211.51,17.63,-558.26
101.35,0,16.8,217.5,16.99,-558.16
101.4,0,16.72,217.5,16.69,-558.07
101.45,0,15.9,214.62,16.56,-557.98
101.5,0,14.92,211.73,16.47,-557.89
101.55,0,13.77,210.62,16.32,-557.81
101.6,0,12.94,208.4,16.16,-557.72
101.65,0,12.14,207.07,15.99,-557.63
101.7,0,11.22,206.18,15.84,-557.54
101.75,0,11.07,205.96,15.71,-557.46
101.8,0,11.06,205.74,15.54,-557.39
101.85,0,11.83,205.74,15.36,-557.33
101.9,0,12.58,205.52,15.12,-557.3
101.95,0,13.48,205.74,14.89,-557.28
102,0,14.01,206.18,14.72,-557.28
102.05,0,14.7,208.4,14.71,-557.27
102.1,0,15.14,211.51,14.83,-557.27
102.15,0,15.77,213.51,15.05,-557.25
102.2,0,15.38,210.4,15.28,-557.2
102.25,0,15.03,205.96,15.48,-557.13
102.3,0,14.48,202.63,15.59,-557.04
102.35,0,13.5,202.19,15.61,-556.92
102.4,0,12.2,202.63,15.54,-556.78
102.45,0,10.74,205.07,15.36,-556.62
102.5,0,9.39,207.29,15.07,-556.45
102.55,0,8.63,205.96,14.71,-556.28
102.6,0,8,202.85,14.3,-556.1
102.65,0,7.93,201.08,13.92,-555.94
102.7,0,7.99,200.63,13.5,-555.79
102.75,0,8.18,200.41,13.11,-555.66
102.8,0,8.83,200.41,12.72,-555.54
102.85,0,9.4,200.41,12.44,-555.44
102.9,0,9.85,200.63,12.25,-555.34
102.95,0,10.05,200.63,12.12,-555.26
103,0,10.18,200.85,12,-555.18
103.05,0,10.45,201.08,11.87,-555.12
103.1,0,10.73,201.08,11.74,-555.05
103.15,0,10.63,201.08,11.62,-555
103.2,0,10.27,200.85,11.53,-554.95
103.25,0,9.78,200.85,11.48,-554.89
103.3,0,9.21,200.85,11.46,-554.85
103.35,0,8.6,200.85,11.41,-554.81
103.4,0,7.96,200.85,11.32,-554.78
103.45,0,7.51,200.85,11.17,-554.76
103.5,0,7.5,200.63,11.05,-554.76
103.55,0,7.6,199.74,10.99,-554.79
103.6,0,7.62,199.08,10.97,-554.83
103.65,0,7.64,199.52,10.98,-554.9
103.7,0,7.65,200.41,11.04,-554.99
103.75,0,7.86,200.85,11.16,-555.1
103.8,0,8.1,200.85,11.33,-555.24
103.85,0,8.39,200.85,11.52,-555.4
103.9,0,8.7,200.85,11.76,-555.57
103.95,0,9.02,200.85,12.03,-555.75
104,0,9.14,201.3,12.34,-555.94
104.05,0,9.23,201.96,12.72,-556.13
104.1,0,8.88,203.3,13.13,-556.3
104.15,0,8.82,203.96,13.62,-556.45
104.2,0,8.74,204.41,14.09,-556.57
104.25,0,9.11,205.07,14.48,-556.66
104.3,0,9.37,205.96,14.74,-556.73
104.35,0,9.5,206.18,14.9,-556.78
104.4,0,9.37,205.96,14.97,-556.84
104.45,0,9.17,205.29,14.89,-556.9
104.5,0,9.31,204.85,14.7,-556.99
104.55,0,9.5,203.96,14.49,-557.1
104.6,0,9.76,203.52,14.42,-557.23
104.65,0,9.85,203.74,14.61,-557.37
104.7,0,10.32,204.18,15.01,-557.5
104.75,0,10.84,204.85,15.54,-557.63
104.8,0,11.23,205.74,16,-557.75
104.85,0,11.21,206.4,16.35,-557.86
104.9,0,10.89,206.63,16.56,-557.95
104.95,0,10.42,206.4,16.67,-558.04
105,0,9.86,206.18,16.78,-558.12
105.05,0,9.46,206.18,16.93,-558.19
105.1,0,9.06,206.18,17.09,-558.25
105.15,0,8.7,206.18,17.23,-558.3
105.2,0,8.15,206.63,17.32,-558.33
105.25,0,7.57,207.07,17.42,-558.34
105.3,0,6.95,207.29,17.49,-558.34
105.35,0,6.1,207.29,17.53,-558.32
105.4,0,5.41,207.07,17.47,-558.29
105.45,0,4.7,207.29,17.35,-558.23
105.5,0,4.42,207.74,17.19,-558.17
105.55,0,4.23,208.62,17.02,-558.09
105.6,0,4.13,209.29,16.84,-558
105.65,0,4.27,209.51,16.68,-557.89
105.7,0,4.68,209.51,16.58,-557.75
105.75,0,5.19,209.29,16.49,-557.6
105.8,0,5.57,209.07,16.39,-557.44
105.85,0,5.75,208.62,16.14,-557.28
105.9,0,5.87,208.62,15.77,-557.14
105.95,0,6.32,208.85,15.23,-557.02
