Month,Ng
1901/1/1,8.77
1901/2/1,9.28
1901/3/1,9.61
1901/4/1,9.98
1901/5/1,9.72
1901/6/1,9.34
1901/7/1,8.81
1901/8/1,8.23
1901/9/1,7.81
1901/10/1,7.21
1901/11/1,7
1901/12/1,6.84
1902/1/1,6.97
1902/2/1,6.96
1902/3/1,6.99
1902/4/1,7.19
1902/5/1,7.64
1902/6/1,8.17
1902/7/1,8.96
1902/8/1,10.03
1902/9/1,11.2
1902/10/1,12.44
1902/11/1,13.53
1902/12/1,14.6
1903/1/1,15.63
1903/2/1,16.24
1903/3/1,16.77
1903/4/1,16.8
1903/5/1,16.72
1903/6/1,15.9
1903/7/1,14.92
1903/8/1,13.77
1903/9/1,12.94
1903/10/1,12.14
1903/11/1,11.22
1903/12/1,11.07
1904/1/1,11.06
1904/2/1,11.83
1904/3/1,12.58
1904/4/1,13.48
1904/5/1,14.01
1904/6/1,14.7
1904/7/1,15.14
1904/8/1,15.77
1904/9/1,15.38
1904/10/1,15.03
1904/11/1,14.48
1904/12/1,13.5
1905/1/1,12.2
1905/2/1,10.74
1905/3/1,9.39
1905/4/1,8.63
1905/5/1,8
1905/6/1,7.93
1905/7/1,7.99
1905/8/1,8.18
1905/9/1,8.83
1905/10/1,9.4
1905/11/1,9.85
1905/12/1,10.05
1906/1/1,10.18
1906/2/1,10.45
1906/3/1,10.73
1906/4/1,10.63
1906/5/1,10.27
1906/6/1,9.78
1906/7/1,9.21
1906/8/1,8.6
1906/9/1,7.96
1906/10/1,7.51
1906/11/1,7.5
1906/12/1,7.6
1907/1/1,7.62
1907/2/1,7.64
1907/3/1,7.65
1907/4/1,7.86
1907/5/1,8.1
1907/6/1,8.39
1907/7/1,8.7
1907/8/1,9.02
1907/9/1,9.14
1907/10/1,9.23
1907/11/1,8.88
1907/12/1,8.82
1908/1/1,8.74
1908/2/1,9.11
1908/3/1,9.37
1908/4/1,9.5
1908/5/1,9.37
1908/6/1,9.17
1908/7/1,9.31
1908/8/1,9.5
1908/9/1,9.76
1908/10/1,9.85
1908/11/1,10.32
1908/12/1,10.84
1909/1/1,11.23
1909/2/1,11.21
1909/3/1,10.89
1909/4/1,10.42
1909/5/1,9.86
1909/6/1,9.46
1909/7/1,9.06
1909/8/1,8.7
1909/9/1,8.15
1909/10/1,7.57
1909/11/1,6.95
1909/12/1,6.1
1910/1/1,5.41
1910/2/1,4.7
1910/3/1,4.42
1910/4/1,4.23
1910/5/1,4.13
1910/6/1,4.27
1910/7/1,4.68
1910/8/1,5.19
1910/9/1,5.57
1910/10/1,5.75
1910/11/1,5.87
1910/12/1,6.32
1911/1/1,6.84
1911/2/1,7.43
1911/3/1,8.05
1911/4/1,8.9
1911/5/1,9.79
1911/6/1,9.94
1911/7/1,9.95
1911/8/1,9.78
1911/9/1,10.34
1911/10/1,10.82
1911/11/1,11.43
1911/12/1,11.45
1912/1/1,11.38
1912/2/1,11.17
1912/3/1,10.71
1912/4/1,10.18
1912/5/1,9.78
1912/6/1,9.99
1912/7/1,10.35
1912/8/1,10.27
1912/9/1,9.72
1912/10/1,9
1912/11/1,8.75
1912/12/1,8.75
1913/1/1,8.9
1913/2/1,8.73
1913/3/1,8.73
1913/4/1,8.69
1913/5/1,8.68
1913/6/1,8.28
1913/7/1,7.79
1913/8/1,7.61
1913/9/1,7.48
1913/10/1,7.42
1913/11/1,6.78
1913/12/1,6.04
1914/1/1,5.36
1914/2/1,5.08
1914/3/1,5.09
1914/4/1,5.03
1914/5/1,5.03
1914/6/1,5.21
1914/7/1,5.45
1914/8/1,5.73
1914/9/1,5.84
1914/10/1,5.91
1914/11/1,6.15
1914/12/1,6.41
1915/1/1,6.71
1915/2/1,6.83
1915/3/1,6.71
1915/4/1,6.51
1915/5/1,6.24
1915/6/1,6.15
1915/7/1,5.88
1915/8/1,5.61
1915/9/1,5.5
1915/10/1,5.42
1915/11/1,5.38
1915/12/1,5.16
1916/1/1,5.31
1916/2/1,5.49
1916/3/1,5.96
1916/4/1,6.09
1916/5/1,6.41
1916/6/1,6.5
1916/7/1,6.98
1916/8/1,7.3
1916/9/1,7.66
1916/10/1,7.99
1916/11/1,8.93
1916/12/1,9.98
1917/1/1,10.58
1917/2/1,10.71
1917/3/1,10.66
1917/4/1,11.08
1917/5/1,11.15
1917/6/1,11.24
1917/7/1,10.88
1917/8/1,10.62
1917/9/1,10.1
1917/10/1,9.75
1917/11/1,8.77
1917/12/1,8.1
1918/1/1,7.37
1918/2/1,7.5
1918/3/1,7.77
1918/4/1,8.25
1918/5/1,8.81
1918/6/1,9.01
1918/7/1,9.16
1918/8/1,9.04
1918/9/1,9.04
1918/10/1,9.02
1918/11/1,9.01
1918/12/1,8.81
1919/1/1,8.56
1919/2/1,8.07
1919/3/1,7.53
1919/4/1,6.92
1919/5/1,6.09
1919/6/1,5.8
1919/7/1,5.58
1919/8/1,6.08
1919/9/1,6.53
1919/10/1,7.32
1919/11/1,7.97
1919/12/1,8.66
1920/1/1,8.73
1920/2/1,8.68
1920/3/1,8.28
1920/4/1,8.19
1920/5/1,8.29
1920/6/1,8.5
1920/7/1,8.36
1920/8/1,7.97
1920/9/1,7.67
1920/10/1,7.53
1920/11/1,7.44
1920/12/1,6.99
1921/1/1,6.69
1921/2/1,6.34
1921/3/1,6
1921/4/1,5.87
1921/5/1,5.77
1921/6/1,5.53
1921/7/1,5.06
1921/8/1,4.52
1921/9/1,4.12
1921/10/1,3.93
1921/11/1,3.81
1921/12/1,4.35
1922/1/1,5.23
1922/2/1,6.32
1922/3/1,7.51
1922/4/1,8.17
1922/5/1,9.34
1922/6/1,10.1
1922/7/1,11.09
1922/8/1,11.24
1922/9/1,11.27
1922/10/1,11.1
1922/11/1,10.67
1922/12/1,10.16
1923/1/1,9.37
1923/2/1,8.7
1923/3/1,8.01
1923/4/1,7.54
1923/5/1,6.71
1923/6/1,6.25
1923/7/1,5.79
1923/8/1,6.21
1923/9/1,7
1923/10/1,8.04
1923/11/1,9.01
1923/12/1,9.41
1924/1/1,9.68
1924/2/1,9.82
1924/3/1,10.1
1924/4/1,10.38
1924/5/1,11.1
1924/6/1,11.3
1924/7/1,11.48
1924/8/1,11.16
1924/9/1,10.33
1924/10/1,9.3
1924/11/1,8.13
1924/12/1,7.88
1925/1/1,8
1925/2/1,8.38
1925/3/1,8.48
1925/4/1,8.37
1925/5/1,8.17
1925/6/1,8.71
1925/7/1,9.78
1925/8/1,11.1
1925/9/1,11.97
1925/10/1,12.61
1925/11/1,13.32
1925/12/1,13.99
1926/1/1,14.26
1926/2/1,14.05
1926/3/1,13.66
1926/4/1,13.34
1926/5/1,12.6
1926/6/1,11.79
1926/7/1,10.48
1926/8/1,9.85
1926/9/1,9.27
1926/10/1,9.22
1926/11/1,8.7
1926/12/1,8.18
1927/1/1,7.38
1927/2/1,6.91
1927/3/1,6.46
1927/4/1,6.07
1927/5/1,5.71
1927/6/1,5.16
1927/7/1,4.77
1927/8/1,4.19
1927/9/1,3.59
1927/10/1,2.96
1927/11/1,2.51
