Depth,RES,DEN,NG,CAL,FCRES,FCDEN,FCNG,FCCAL,CLRES,CLDEN,CLNG,CLCAL,ELRES,ELDEN,ELCG,ELCAL
50,12.53,2.32,12.59,163.34,12.83861845,2.339798222,8.966123939,152.433951,12.89644522,2.373446952,10.03164466,143.616186,12.01308006,2.320965884,13.16025775,163.5181967
50.05,12.41,2.33,12.76,162.89001,12.75144292,2.346194396,9.102719487,152.0722167,12.32021889,2.370865285,9.700449876,146.6442549,11.8912388,2.331230804,13.29142805,163.0858468
50.1,12.37,2.32,12.870001,162,12.72841493,2.339871054,9.20839942,151.3478214,12.40752189,2.363920067,9.762108833,145.781312,11.85117618,2.320882972,13.36157569,162.2175703
50.15,12.45,2.32,12.73,161.55998,12.79301698,2.340213052,9.137302881,150.9475851,12.56196632,2.360815123,9.744835545,145.0097091,11.93462495,2.320821188,13.25277258,161.7671931
50.2,12.630001,2.31,12.12,161.55998,12.9361336,2.334063112,8.736893382,150.9096769,12.72409765,2.358046335,9.429196866,144.7492667,12.11735563,2.310497255,12.64001125,161.7694381
50.25,12.9,2.3,11.37,162,13.13798639,2.327906029,8.206782089,151.2180265,12.90087585,2.355525116,8.967081173,144.805029,12.39075409,2.300222655,11.92712306,162.1948821
50.3,13.179999,2.3,10.7,163.11,13.34247555,2.32808367,7.714128673,152.0681407,13.08330551,2.354911217,8.534818274,145.1487832,12.67297814,2.300286642,11.29931203,163.2858255
50.35,13.49,2.29,10.41,164.00002,13.56907105,2.32154507,7.465369283,152.7564633,13.29385901,2.353178834,8.31054269,145.5128659,12.98232932,2.290080135,11.02149592,164.1727232
50.4,13.809999,2.27,10.22,164.67,13.80197914,2.30856123,7.28442002,153.2490003,13.50588568,2.349195299,8.215067238,145.7964442,13.30213978,2.269546139,10.8804268,164.8253691
50.45,14.209999,2.26,9.73,164.67,14.09556928,2.30207727,6.892578741,153.1876075,13.72751093,2.346215391,8.021521103,145.8388559,13.7036698,2.259300429,10.47251155,164.7976285
50.5,14.650001,2.25,8.99,164.45,14.4344461,2.295960208,6.381810462,152.9639957,14.02289086,2.343823314,7.665628563,145.7339919,14.14862834,2.249038913,9.775863695,164.5669624
50.55,15.140001,2.25,8.14,164.67,14.81607879,2.296436287,5.809482908,153.1039179,14.39743126,2.3433705,7.214199441,145.7316547,14.64575774,2.249084392,8.968216934,164.7734871
50.6,15.459999,2.24,7.6300006,165.11002,15.06416148,2.290339954,5.468528921,153.444345,14.71768397,2.341853509,6.878684601,145.8624079,14.96978701,2.211271999,8.470075049,165.2130488
50.65,15.499999,2.24,7.15,165.11002,15.08375333,2.290423,5.114712009,153.4326028,14.77109981,2.341398259,6.615894572,145.9057936,15.01024319,2.222162267,8.033731052,165.1992865
50.7,15.169999,2.24,6.76,165.11002,14.82141844,2.290550539,4.847795035,153.4502387,14.53463368,2.341302963,6.395569491,145.9209574,14.67873663,2.225704554,7.641419145,163.3739601
50.75,14.66,2.24,6.38,164.89,14.41579969,2.290513322,4.568638937,153.3033657,14.1404821,2.341113973,6.178156056,145.8668507,14.16525678,2.227284379,7.248263927,162.5964861
50.8,14.220001,2.24,6.43,164.45,14.06777544,2.290495198,4.589605705,152.9818521,13.76894525,2.340802718,6.095318808,145.7194288,13.72309293,2.22814523,7.282250612,162.454319
50.85,13.990001,2.24,6.56,164.00002,13.89049293,2.290478608,4.680699969,152.6386851,13.52729705,2.340439692,6.104918938,145.5343281,13.49258412,2.238865034,7.398117659,162.3138165
50.9,14.06,2.23,6.8,164.00002,13.95290753,2.284081433,4.859975809,152.6518805,13.48382022,2.33828507,6.193576353,145.4841198,13.5648307,2.217288558,7.630832605,162.4333089
50.95,14.35,2.24,7.07,164.22,14.18056368,2.290459783,5.03802072,152.8249105,13.62337138,2.339185892,6.34448457,145.5458747,13.8577281,2.238821792,7.940437511,162.7316528
51,14.810001,2.25,7.37,164.67,14.55476812,2.296810895,5.267911199,153.2134855,14.00529989,2.34151495,6.535693192,145.7327682,14.32091608,2.249153369,8.215001941,163.115261
51.05,15.23,2.25,7.89,164.89,14.89581084,2.29668122,5.648131943,153.4191779,14.48377618,2.342428022,6.83927683,145.8916827,14.74303691,2.249207041,8.716948451,164.989842
51.1,15.470001,2.25,8.25,165.33,15.09222214,2.296557852,5.913282062,153.7921415,14.79125803,2.34266778,7.139142674,146.0896053,14.9844153,2.249238684,9.091357017,165.4235236
51.15,15.45,2.25,8.63,165.78,15.07843969,2.296323935,6.171451942,154.1828985,14.82000177,2.342649489,7.428994374,146.3077823,14.96288723,2.240706481,9.481562036,165.8673998
