Depth,A,B,C,D,E,FCA,FCB,FCC,FCD,FCE,CLA,CLB,CLC,CLD,CLE,ELA,ELB,ELC,ELD,ELE
50,11.970001,12.53,17.13,12.04,55.470005,12.90973052,12.83861845,17.00836618,12.06768243,48.22867323,13.98733477,12.89644522,16.03420923,11.62436238,32.05618333,11.19226896,12.01308006,16.87233359,11.66491697,48.96137109
50.05,11.7,12.41,17.02,11.98,52.81,12.70457396,12.75144292,16.92314679,12.01811314,46.1240836,12.83551302,12.32021889,15.92140583,11.20050295,39.43366037,10.92223966,11.8912388,16.84149816,11.60447899,48.68316208
50.1,11.54,12.37,16.99,12.07,50.26,12.57891125,12.72841493,16.90399176,12.08947642,44.08726547,12.90786468,12.40752189,16.09353886,11.30243868,41.50710377,10.76387573,11.85117618,16.78010615,11.69489454,47.50036978
50.15,11.47,12.45,16.95,12.29,48.11,12.5261047,12.79301698,16.88518092,12.26752016,42.36949576,12.93260105,12.56196632,16.23426312,11.56755442,41.88597397,10.69647985,11.93462495,16.74288479,11.91670819,45.96307853
50.2,11.48,12.630001,16.9,12.58,46.49,12.53974194,12.9361336,16.85969977,12.495169,41.06470731,12.88605469,12.72409765,16.29509834,11.88653021,41.60340163,10.70725722,12.11735563,16.43504219,12.20945137,44.67153547
50.25,11.53,12.9,16.88,12.82,45.4,12.57784831,13.13798639,16.86412271,12.68842129,40.17824862,12.85347511,12.90087585,16.33289581,12.20953743,41.09295709,10.75578146,12.39075409,16.41999628,12.45152037,43.75096883
50.3,11.59,13.179999,16.97,12.96,44.5,12.62161749,13.34247555,16.96776641,12.8058971,39.44369852,12.84818739,13.08330551,16.45694247,12.43755186,40.4985122,10.81461692,12.67297814,16.51785592,12.59103853,42.95090659
50.35,11.649999,13.49,17.03,12.97,43.57,12.66641366,13.56907105,17.03306323,12.82128296,38.68226607,12.86178927,13.29385901,16.54301957,12.52008763,39.83351435,10.87380529,12.98232932,16.58390187,12.59915799,42.12956224
50.4,11.69,13.809999,16.81,12.9,42.15,12.68195029,13.80197914,16.88755528,12.76805304,37.54227419,12.88061118,13.50588568,16.46360633,12.47520012,38.86600771,10.90820516,13.30213978,16.36870912,12.52706236,42.00239474
50.45,11.73,14.209999,16.23,12.800001,40.22,12.68932974,14.09556928,16.42440449,12.7011486,35.99969971,12.89017941,13.72751093,16.09630987,12.43191826,37.45088353,10.94275603,13.7036698,15.78299887,12.67193053,40.04929104
